"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
65355091.21,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","232","Rental payments to others"
-109400132.04,"2018-04-01","270","Energy","271","Energy supply","30","Acquisition of assets","310","Equipment"
39710,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","256","Medical care"
1754233.07,"2018-04-01","600","Income Security","605","Food and nutrition assistance","30","Acquisition of assets","310","Equipment"
20133711.56,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","256","Medical care"
22900229.15,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","40","Grants and fixed charges","440","Refunds"
7176146.99,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","255","Research and development contracts"
0,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","00","Unknown","000",""
25617052.92,"2018-04-01","800","General Government","802","Executive direction and management","20","Contractual services and supplies","231","Rental payments to GSA"
0,"2018-04-01","450","Community and Regional Development","451","Community development","10","Personnel compensation and benefits","118","Special personal services payments"
5700731.35,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","257","Operation and maintenance of equipment"
749446,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","253","Other goods and services from Federal sources"
57259121.69,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","258","Subsistence and support of persons"
515126.37,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","256","Medical care"
16162644.78,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
124.77,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","257","Operation and maintenance of equipment"
3494332.45,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","256","Medical care"
48896733.79,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","253","Other goods and services from Federal sources"
1113847.83,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","254","Operation and maintenance of facilities"
3647304.35,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","231","Rental payments to GSA"
25619131.88,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","256","Medical care"
1064327255.78,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","251","Advisory and assistance services"
633.08,"2018-04-01","570","Medicare","571","Medicare","30","Acquisition of assets","310","Equipment"
12360.8,"2018-04-01","600","Income Security","604","Housing assistance","10","Personnel compensation and benefits","118","Special personal services payments"
160551071.39,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","10","Personnel compensation and benefits","113","Other than full-time permanent"
115789.94,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","240","Printing and reproduction"
0,"2018-04-01","600","Income Security","605","Food and nutrition assistance","00","Unknown","000",""
12906407.78,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","40","Grants and fixed charges","440","Refunds"
16241874.06,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
2989260.78,"2018-04-01","400","Transportation","401","Ground transportation","10","Personnel compensation and benefits","115","Other personnel compensation"
2835816.11,"2018-04-01","800","General Government","801","Legislative functions","10","Personnel compensation and benefits","115","Other personnel compensation"
0,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","30","Acquisition of assets","320","Land and structures"
145361572.1,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","210","Travel and transportation of persons"
0,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","258","Subsistence and support of persons"
90231788.01,"2018-04-01","800","General Government","806","General purpose fiscal assistance","10","Personnel compensation and benefits","111","Full-time permanent"
3007346617.57,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","252","Other services from non-Federal sources"
219799466.73,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","257","Operation and maintenance of equipment"
20850,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","257","Operation and maintenance of equipment"
6752476.15,"2018-04-01","050","National Defense","051","Department of Defense-Military","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
0,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","40","Grants and fixed charges","430","Interest and dividends"
1547424.85,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","30","Acquisition of assets","330","Investments and loans"
1213638.86,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","257","Operation and maintenance of equipment"
64803452373.02,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","40","Grants and fixed charges","420","Insurance claims and indemnities"
100880.55,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","240","Printing and reproduction"
479573.34,"2018-04-01","050","National Defense","054","Defense-related activities","10","Personnel compensation and benefits","130","Benefits for former personnel"
251904498.58,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","255","Research and development contracts"
904701.65,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","251","Advisory and assistance services"
11413659.05,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","210","Travel and transportation of persons"
40308747.85,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","257","Operation and maintenance of equipment"
5041333.95,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","210","Travel and transportation of persons"
25460533.39,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","10","Personnel compensation and benefits","121","Civilian personnel benefits"
626019.44,"2018-04-01","150","International Affairs","152","International security assistance","10","Personnel compensation and benefits","130","Benefits for former personnel"
600531582.89,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","260","Supplies and materials"
134593830.07,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","257","Operation and maintenance of equipment"
3422267.49,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","232","Rental payments to others"
64974431515.92,"2018-04-01","570","Medicare","571","Medicare","90","Other","940","Financial transfers"
42422879892.25,"2018-04-01","550","Health","551","Health care services","40","Grants and fixed charges","420","Insurance claims and indemnities"
25782541.21,"2018-04-01","300","Natural Resources and Environment","301","Water resources","10","Personnel compensation and benefits","115","Other personnel compensation"
70996657.97,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","254","Operation and maintenance of facilities"
193467935.83,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","253","Other goods and services from Federal sources"
3960876.19,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","258","Subsistence and support of persons"
18610239505.49,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","10","Personnel compensation and benefits","111","Full-time permanent"
244102759.54,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","232","Rental payments to others"
6473255.01,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","232","Rental payments to others"
2116851.45,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
316888346.87,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","251","Advisory and assistance services"
445712.16,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","256","Medical care"
8748159.29,"2018-04-01","800","General Government","804","General property and records management","10","Personnel compensation and benefits","113","Other than full-time permanent"
20856410.68,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","255","Research and development contracts"
30635486.13,"2018-04-01","800","General Government","806","General purpose fiscal assistance","10","Personnel compensation and benefits","121","Civilian personnel benefits"
1377478.51,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","20","Contractual services and supplies","260","Supplies and materials"
16456.14,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","220","Transportation of things"
487.91,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","40","Grants and fixed charges","430","Interest and dividends"
1690174.26,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","210","Travel and transportation of persons"
0,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","90","Other","910","Unvouchered"
532578320.97,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","231","Rental payments to GSA"
-589120.45,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","30","Acquisition of assets","330","Investments and loans"
158322687.53,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","231","Rental payments to GSA"
1970077144.64,"2018-04-01","550","Health","554","Consumer and occupational health and safety","10","Personnel compensation and benefits","111","Full-time permanent"
13.05,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","40","Grants and fixed charges","430","Interest and dividends"
179242426.36,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","251","Advisory and assistance services"
39930000,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","90","Other","940","Financial transfers"
-1230.52,"2018-04-01","600","Income Security","609","Other income security","00","Unknown","000",""
1005638.7,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","40","Grants and fixed charges","420","Insurance claims and indemnities"
50815704.48,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
243948275.29,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","257","Operation and maintenance of equipment"
28505.59,"2018-04-01","400","Transportation","407","Other transportation","00","Unknown","000",""
204573.51,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","220","Transportation of things"
284456.31,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","10","Personnel compensation and benefits","130","Benefits for former personnel"
15529860.47,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","256","Medical care"
22129039.71,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","30","Acquisition of assets","310","Equipment"
42453815.08,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","253","Other goods and services from Federal sources"
183930349,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
70275493174.9,"2018-04-01","700","Veterans Benefits and Services","701","Income security for veterans","40","Grants and fixed charges","420","Insurance claims and indemnities"
62658.48,"2018-04-01","800","General Government","801","Legislative functions","40","Grants and fixed charges","420","Insurance claims and indemnities"
379986731.53,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","10","Personnel compensation and benefits","113","Other than full-time permanent"
2340497935.71,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","111","Full-time permanent"
34545423.62,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","251","Advisory and assistance services"
82897372.69,"2018-04-01","800","General Government","801","Legislative functions","10","Personnel compensation and benefits","121","Civilian personnel benefits"
6293855.45,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","40","Grants and fixed charges","440","Refunds"
32931910.19,"2018-04-01","300","Natural Resources and Environment","301","Water resources","30","Acquisition of assets","320","Land and structures"
852975970.84,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","260","Supplies and materials"
46329725.14,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","10","Personnel compensation and benefits","122","Military personnel benefits"
12790102648.42,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","130","Benefits for former personnel"
68545990.56,"2018-04-01","270","Energy","271","Energy supply","10","Personnel compensation and benefits","115","Other personnel compensation"
726438.66,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","220","Transportation of things"
1436252.15,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","260","Supplies and materials"
-111273,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","90","Other","940","Financial transfers"
950675.48,"2018-04-01","400","Transportation","403","Water transportation","20","Contractual services and supplies","255","Research and development contracts"
12346425.52,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","254","Operation and maintenance of facilities"
12830665.95,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","10","Personnel compensation and benefits","111","Full-time permanent"
-1534507.33,"2018-04-01","400","Transportation","403","Water transportation","10","Personnel compensation and benefits","118","Special personal services payments"
11137008.88,"2018-04-01","270","Energy","274","Emergency energy preparedness","30","Acquisition of assets","320","Land and structures"
27659600.47,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","257","Operation and maintenance of equipment"
2392708.95,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","240","Printing and reproduction"
26941858.84,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","240","Printing and reproduction"
37500.76,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","240","Printing and reproduction"
4438652.04,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","231","Rental payments to GSA"
37739782322.49,"2018-04-01","650","Social Security","651","Social security","90","Other","940","Financial transfers"
50402068.64,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","260","Supplies and materials"
430.32,"2018-04-01","050","National Defense","054","Defense-related activities","90","Other","940","Financial transfers"
145363250.64,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","10","Personnel compensation and benefits","118","Special personal services payments"
17973502.82,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","118","Special personal services payments"
69116250.51,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","251","Advisory and assistance services"
45717076.05,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","10","Personnel compensation and benefits","121","Civilian personnel benefits"
174044745.45,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","115","Other personnel compensation"
3178.62,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","30","Acquisition of assets","320","Land and structures"
1321126.07,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","251","Advisory and assistance services"
0,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","00","Unknown","000",""
8187920.78,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","232","Rental payments to others"
59101.76,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","240","Printing and reproduction"
14237.59,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","40","Grants and fixed charges","430","Interest and dividends"
48355.81,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","258","Subsistence and support of persons"
1442352999.75,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","10","Personnel compensation and benefits","111","Full-time permanent"
5573520.66,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","252","Other services from non-Federal sources"
1753423.37,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","90","Other","920","Undistributed"
0,"2018-04-01","370","Commerce and Housing Credit","371","Mortgage credit","00","Unknown","000",""
20194569652.19,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
1842822,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
17310576.43,"2018-04-01","800","General Government","802","Executive direction and management","20","Contractual services and supplies","253","Other goods and services from Federal sources"
5642770.91,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","251","Advisory and assistance services"
44344692.15,"2018-04-01","800","General Government","803","Central fiscal operations","10","Personnel compensation and benefits","113","Other than full-time permanent"
36606861.8,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
11529365.15,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","231","Rental payments to GSA"
211898563.56,"2018-04-01","400","Transportation","402","Air transportation","30","Acquisition of assets","310","Equipment"
871181911.86,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","30","Acquisition of assets","310","Equipment"
50081562.55,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","10","Personnel compensation and benefits","118","Special personal services payments"
1477765.15,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","220","Transportation of things"
240323409.42,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","10","Personnel compensation and benefits","115","Other personnel compensation"
86341534.87,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","251","Advisory and assistance services"
16872655.46,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","231","Rental payments to GSA"
0,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","90","Other","910","Unvouchered"
44867609.47,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","220","Transportation of things"
1715668.64,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","210","Travel and transportation of persons"
73275.61,"2018-04-01","400","Transportation","403","Water transportation","40","Grants and fixed charges","440","Refunds"
655478512.79,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","254","Operation and maintenance of facilities"
463193.02,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","254","Operation and maintenance of facilities"
3205419034.29,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","10","Personnel compensation and benefits","111","Full-time permanent"
33936453.36,"2018-04-01","150","International Affairs","152","International security assistance","10","Personnel compensation and benefits","113","Other than full-time permanent"
4026447.42,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","240","Printing and reproduction"
1958.22,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","10","Personnel compensation and benefits","122","Military personnel benefits"
416748699.93,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","260","Supplies and materials"
2963086.34,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","220","Transportation of things"
1500000,"2018-04-01","150","International Affairs","152","International security assistance","90","Other","910","Unvouchered"
0,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","40","Grants and fixed charges","430","Interest and dividends"
153291052.93,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","30","Acquisition of assets","320","Land and structures"
87313,"2018-04-01","450","Community and Regional Development","451","Community development","10","Personnel compensation and benefits","130","Benefits for former personnel"
3356026.37,"2018-04-01","800","General Government","804","General property and records management","00","Unknown","000",""
0,"2018-04-01","450","Community and Regional Development","451","Community development","30","Acquisition of assets","330","Investments and loans"
203051604.5,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","251","Advisory and assistance services"
3364400.57,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","231","Rental payments to GSA"
0,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","232","Rental payments to others"
718689769.93,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","10","Personnel compensation and benefits","121","Civilian personnel benefits"
2058124023.33,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","10","Personnel compensation and benefits","115","Other personnel compensation"
5249482276.19,"2018-04-01","800","General Government","806","General purpose fiscal assistance","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
1521830035.67,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","260","Supplies and materials"
3448.17,"2018-04-01","450","Community and Regional Development","451","Community development","40","Grants and fixed charges","440","Refunds"
1656.7,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","90","Other","920","Undistributed"
2345284.59,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","10","Personnel compensation and benefits","113","Other than full-time permanent"
17754366.77,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","240","Printing and reproduction"
111142173.4,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
50316092.1,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","255","Research and development contracts"
28979.78,"2018-04-01","800","General Government","802","Executive direction and management","40","Grants and fixed charges","440","Refunds"
459793.15,"2018-04-01","150","International Affairs","152","International security assistance","40","Grants and fixed charges","420","Insurance claims and indemnities"
-1952180.44,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","00","Unknown","000",""
1335454091.07,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","10","Personnel compensation and benefits","111","Full-time permanent"
43922549.36,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","253","Other goods and services from Federal sources"
195629834.17,"2018-04-01","400","Transportation","402","Air transportation","10","Personnel compensation and benefits","113","Other than full-time permanent"
97605100.8,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","30","Acquisition of assets","310","Equipment"
631938811.39,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","20","Contractual services and supplies","231","Rental payments to GSA"
384992.44,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","210","Travel and transportation of persons"
93400000,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","90","Other","940","Financial transfers"
1551131.48,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","220","Transportation of things"
242462772.35,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","30","Acquisition of assets","310","Equipment"
120690821.29,"2018-04-01","450","Community and Regional Development","452","Area and regional development","10","Personnel compensation and benefits","113","Other than full-time permanent"
177888764.2,"2018-04-01","400","Transportation","403","Water transportation","10","Personnel compensation and benefits","121","Civilian personnel benefits"
162296226.38,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","260","Supplies and materials"
792982.98,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","20","Contractual services and supplies","240","Printing and reproduction"
67621319.41,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","252","Other services from non-Federal sources"
84676289.9,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","00","Unknown","0",""
43293378.97,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
260622.77,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","251","Advisory and assistance services"
17786154.59,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","30","Acquisition of assets","310","Equipment"
826626.63,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","40","Grants and fixed charges","420","Insurance claims and indemnities"
930890.07,"2018-04-01","550","Health","554","Consumer and occupational health and safety","10","Personnel compensation and benefits","130","Benefits for former personnel"
0,"2018-04-01","370","Commerce and Housing Credit","371","Mortgage credit","00","Unknown","0",""
7196366.55,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","210","Travel and transportation of persons"
206090.22,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","30","Acquisition of assets","310","Equipment"
493847.85,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","220","Transportation of things"
0,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","251","Advisory and assistance services"
2839141.18,"2018-04-01","350","Agriculture","351","Farm income stabilization","10","Personnel compensation and benefits","130","Benefits for former personnel"
54574.98,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
9375154.24,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","253","Other goods and services from Federal sources"
4385198584.51,"2018-04-01","350","Agriculture","351","Farm income stabilization","30","Acquisition of assets","330","Investments and loans"
1297978.92,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","251","Advisory and assistance services"
52976527.75,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","30","Acquisition of assets","310","Equipment"
82362208.66,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","254","Operation and maintenance of facilities"
364687596.37,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","10","Personnel compensation and benefits","113","Other than full-time permanent"
9500000,"2018-04-01","800","General Government","802","Executive direction and management","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
0,"2018-04-01","600","Income Security","604","Housing assistance","00","Unknown","0",""
2670637581.4,"2018-04-01","050","National Defense","054","Defense-related activities","10","Personnel compensation and benefits","111","Full-time permanent"
34853.24,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","240","Printing and reproduction"
47189604.98,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","254","Operation and maintenance of facilities"
861071204.86,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","252","Other services from non-Federal sources"
5427519.37,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","257","Operation and maintenance of equipment"
4893540.88,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","10","Personnel compensation and benefits","122","Military personnel benefits"
11854836.3,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","220","Transportation of things"
17780380.95,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","10","Personnel compensation and benefits","117","Military personnel"
50208866.29,"2018-04-01","570","Medicare","571","Medicare","10","Personnel compensation and benefits","111","Full-time permanent"
17949042.5,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","255","Research and development contracts"
-2191599.61,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","256","Medical care"
1030908037.07,"2018-04-01","800","General Government","803","Central fiscal operations","10","Personnel compensation and benefits","121","Civilian personnel benefits"
1659095.61,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","10","Personnel compensation and benefits","130","Benefits for former personnel"
195000,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","240","Printing and reproduction"
262123634.64,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","260","Supplies and materials"
0,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","220","Transportation of things"
2200813.78,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","210","Travel and transportation of persons"
0,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","254","Operation and maintenance of facilities"
10658004.73,"2018-04-01","400","Transportation","407","Other transportation","10","Personnel compensation and benefits","113","Other than full-time permanent"
18004.72,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
-187312.38,"2018-04-01","400","Transportation","402","Air transportation","00","Unknown","000",""
