"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Transportation","Federal Motor Carrier Safety Administration","Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",5132,"2","2018","2018-03-31",52336262.79,121424559.21
"Department of Transportation","Federal Motor Carrier Safety Administration","Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",5133,"2","2018","2018-03-31",107357312.71,57265846.56
"Department of Transportation","Federal Motor Carrier Safety Administration","Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",5114,"2","2018","2018-03-31",0,3260308.5
"Department of Transportation","Federal Motor Carrier Safety Administration","National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation",5111,"2","2018","2018-03-31",0,9520052.59
"Department of Transportation","Federal Railroad Administration","Alaska Railroad Rehabilitation, Federal Railroad Administration, Transportation",5021,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Capital and Debt Service Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",4919,"2","2018","2018-03-31",2146280.33,11383313.27
"Department of Transportation","Federal Railroad Administration","Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service - Recovery Act, Federal Railroad Administration, Transportation",5015,"2","2018","2018-03-31",0,284320.98
"Department of Transportation","Federal Railroad Administration","Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service, Federal Railroad Administration, Transportation",5016,"2","2018","2018-03-31",258774.58,57621419.41
"Department of Transportation","Federal Railroad Administration","Capital Grants to the National Railroad Passenger Corporation - Recovery Act, Federal Railroad Administration, Transportation",5019,"2","2018","2018-03-31",0,472206.93
"Department of Transportation","Federal Railroad Administration","Condolidated Rail Infrastructure and Safety Improvements Grants, Federal Railroad Administration, Transportation",5071,"2","2018","2018-03-31",0,660547000
"Department of Transportation","Federal Railroad Administration","Efficiency Incentive Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",4914,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Federal-State Partnership for State of Good Repair Grants, Federal Railroad Administration, Transportation",5070,"2","2018","2018-03-31",0,275000000
"Department of Transportation","Federal Railroad Administration","Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",5010,"2","2018","2018-03-31",0,45531563.16
"Department of Transportation","Federal Railroad Administration","High-Speed Ground Transportation, Liquidation of Contract Authorization, Federal Railroad Administration, Transportation",5159,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Local Rail Freight Assistance, Federal Railroad Administration, Transportation",5012,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","National Network Grants to the National Railroad Passenger Corporation, Transportation",5069,"2","2018","2018-03-31",549555459.59,747485705.37
"Department of Transportation","Federal Railroad Administration","Next Generation High Speed Rail, Federal Railroad Administration, Transportation",5017,"2","2018","2018-03-31",595200,3219483.21
"Department of Transportation","Federal Railroad Administration","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",5068,"2","2018","2018-03-31",152151983,501757815
"Department of Transportation","Federal Railroad Administration","Northeast Corridor Improvement Program, Federal Railroad Administration, Transportation",4917,"2","2018","2018-03-31",0,20163136.48
"Department of Transportation","Federal Railroad Administration","Operating Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",4915,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Passenger Rail Service, Capital Assistance to States - Intercity, Federal Railroad Administration, Transportation",5013,"2","2018","2018-03-31",0,11106134.04
"Department of Transportation","Federal Railroad Administration","Pennsylvania Station Redevelopment Project, Federal Railroad Administration, Transportation",5018,"2","2018","2018-03-31",40200000,100000.66
"Department of Transportation","Federal Railroad Administration","Rail Labor Assistance, Federal Railroad Administration, Transportation",5011,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Rail Line Relocation and Improvement Program, Federal Railroad Administration, Transportation",5014,"2","2018","2018-03-31",0,13550365.14
"Department of Transportation","Federal Railroad Administration","Rail Service Assistance, Federal Railroad Administration, Transportation",4916,"2","2018","2018-03-31",0,154041.33
"Department of Transportation","Federal Railroad Administration","Railroad Rehabilitation and Improvement Program Account, Federal Railroad Administration, Transportation",5024,"2","2018","2018-03-31",0,26238243.79
"Department of Transportation","Federal Railroad Administration","Railroad Rehabilitation and Repair, Federal Railroad Administration, Transportation",4918,"2","2018","2018-03-31",0,0.64
"Department of Transportation","Federal Railroad Administration","Railroad Research and Development, Federal Railroad Administration, Transportation",5022,"2","2018","2018-03-31",3401316.89,50888559.93
"Department of Transportation","Federal Railroad Administration","Railroad Research, Federal Railroad Administration, Transportation",5009,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Railroad Safety Technology Program, Federal Railroad Administration, Transportation",5007,"2","2018","2018-03-31",0,612244.91
"Department of Transportation","Federal Railroad Administration","Railroad Safety, Federal Railroad Administration, Transportation",5008,"2","2018","2018-03-31",6722887,29612443.19
"Department of Transportation","Federal Railroad Administration","Restoration and Enhancement Grants, Federal Railroad Administration, Transportation",4920,"2","2018","2018-03-31",0,25000000
"Department of Transportation","Federal Railroad Administration","Rhode Island Rail Development, Federal Railroad Administration, Transportation",5020,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Railroad Administration","Safety and Operations, Federal Railroad Administration, Transportation",5006,"2","2018","2018-03-31",84973880.35,172179805.82
"Department of Transportation","Federal Railroad Administration","West Virginia Rail Development, Federal Railroad Administration, Transportation",5025,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Transit Administration","Administrative Expenses, Federal Transit Administration, Transportation",5029,"2","2018","2018-03-31",46764943.19,20140891.83
"Department of Transportation","Federal Transit Administration","Capital Investment Grants, Federal Transit Administration, Transportation",5041,"2","2018","2018-03-31",237109730.6,2604448518.98
"Department of Transportation","Federal Transit Administration","Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund, Federal Transit Administration, Transportation",5134,"2","2018","2018-03-31",0,18178846.86
"Department of Transportation","Federal Transit Administration","Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation",5140,"2","2018","2018-03-31",1402323133.19,20919567136.92
"Department of Transportation","Federal Transit Administration","Formula Grants, Federal Transit Administration, Transportation",5038,"2","2018","2018-03-31",0,53117320.92
"Department of Transportation","Federal Transit Administration","Grants for Energy Efficiency and Greenhouse Gas Reductions, Federal Transit Administration, Transportation",5039,"2","2018","2018-03-31",0,705190
"Department of Transportation","Federal Transit Administration","Interstate Transfer Grants-Transit, Federal Transit Administration, Transportation",5036,"2","2018","2018-03-31",0,10666.49
"Department of Transportation","Federal Transit Administration","Job Access and Reverse Commute Grants, Federal Transit Administration, Transportation",5034,"2","2018","2018-03-31",0,300361.92
"Department of Transportation","Federal Transit Administration","Non-Urban Formula Grants, Federal Transit Administration, Transportation",5032,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Transit Administration","Public Transportation Emergency Relief Program, Federal Transit Administration, Transportation",5044,"2","2018","2018-03-31",3046597.91,3453162223.61
"Department of Transportation","Federal Transit Administration","Research, Training, and Human Resources, Federal Transit Administration, Transportation",5030,"2","2018","2018-03-31",0,31635.19
"Department of Transportation","Federal Transit Administration","Technical Assistance and Training, Federal Transit Administration, Transportation",5045,"2","2018","2018-03-31",0,6003776.19
"Department of Transportation","Federal Transit Administration","Transit Infrastructure Grants, Federal Transit Administration, Transportation",5072,"2","2018","2018-03-31",0,834000000
"Department of Transportation","Federal Transit Administration","Transit Research, Federal Transit Administration, Transportation",5043,"2","2018","2018-03-31",427017.95,21043863.67
"Department of Transportation","Federal Transit Administration","University Transportation Research, Federal Transit Administration, Transportation",5042,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Transit Administration","Urban Discretionary Grants, Federal Transit Administration, Transportation",5031,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Transit Administration","Urban Formula Grants, Federal Transit Administration, Transportation",5033,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Transit Administration","Urban Mass Transportation Fund, Federal Transit Administration, Transportation",5028,"2","2018","2018-03-31",0,0
"Department of Transportation","Federal Transit Administration","Washington Metropolitan Area Transit Authority, Federal Transit Administration, Transportation",5037,"2","2018","2018-03-31",82248.52,82920473.49
"Department of Transportation","Maritime Administration","Assistance to Shipyards, Maritime Administration, Transportation",5066,"2","2018","2018-03-31",2359.34,15290813.16
"Department of Transportation","Maritime Administration","Gifts and Bequests, Maritime Administration, Transportation",5156,"2","2018","2018-03-31",405570.66,9094429.34
"Department of Transportation","Maritime Administration","Maritime Guaranteed Loan, (Title XI) Program Account, Maritime Administration, Transportation",5062,"2","2018","2018-03-31",1420389,32266948.01
"Department of Transportation","Maritime Administration","Maritime Security Program, Maritime Administration, Transportation",5056,"2","2018","2018-03-31",162576973.72,27195886.3
"Department of Transportation","Maritime Administration","Operations and Training, Maritime Administration, Transportation",5060,"2","2018","2018-03-31",69533807.98,543433238.09
"Department of Transportation","Maritime Administration","Port of Guam Improvement Enterprise Fund, Maritime Administration, Transportation",5088,"2","2018","2018-03-31",1907.12,4821421.39
"Department of Transportation","Maritime Administration","Ready Reserve Force, Maritime Administration, Transportation",5055,"2","2018","2018-03-31",153752515.33,316567096.89
"Department of Transportation","Maritime Administration","Ship Disposal, Maritime Administration, Transportation",5064,"2","2018","2018-03-31",1570208.11,134102620.71
"Department of Transportation","Maritime Administration","Special Studies, Services and Projects, Maritime Administration, Transportation",5157,"2","2018","2018-03-31",0,4198.07
"Department of Transportation","Maritime Administration","Vessel Operations Revolving Fund, Maritime Administration, Transportation",5078,"2","2018","2018-03-31",394616.56,31800825.06
"Department of Transportation","Maritime Administration","War-Risk Insurance Revolving Fund, Maritime Administration, Transportation",5077,"2","2018","2018-03-31",0,49115539.35
"Department of Transportation","National Highway Traffic Safety Administration","Consumer Assistance to Recycle and Save Program, National Highway Traffic Safety Administration, Transportation",5003,"2","2018","2018-03-31",0,20482346.54
"Department of Transportation","National Highway Traffic Safety Administration","Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund, National Highway Traffic Safety Administration, Transportation",5108,"2","2018","2018-03-31",167175708.94,216833257.95
"Department of Transportation","National Highway Traffic Safety Administration","National Driver Register, National Highway Traffic Safety Administration, Transportation",5141,"2","2018","2018-03-31",0,413814.12
"Department of Transportation","National Highway Traffic Safety Administration","Next Generation 911 Implementation Grants, National Highway Traffic Safety Administration, Transportation",5005,"2","2018","2018-03-31",100000,111383527.3
"Department of Transportation","National Highway Traffic Safety Administration","Operations and Research - Trust Fund, National Highway Traffic Safety Administration, Transportation",5105,"2","2018","2018-03-31",38993280.72,70313428.46
"Department of Transportation","National Highway Traffic Safety Administration","Operations and Research, National Highway Traffic Safety Administration, Transportation",5000,"2","2018","2018-03-31",37278958.54,179832643.09
"Department of Transportation","National Highway Traffic Safety Administration","State and Community Highway Safety, Liquidation of Contract Authorization, National Highway Traffic Safety Administration, Transportation",5001,"2","2018","2018-03-31",0,0
"Department of Transportation","Office of Inspector General","Salaries and Expenses - Recovery Act, Office of Inspector General, Transportation",4923,"2","2018","2018-03-31",0,0
"Department of Transportation","Office of Inspector General","Salaries and Expenses, Office of Inspector General, Transportation",4922,"2","2018","2018-03-31",40840610.86,62991818.68
"Department of Transportation","Office of the Secretary","Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",4927,"2","2018","2018-03-31",0,0
"Department of Transportation","Office of the Secretary","Compensation for General Aviation Operations, Office of the Secretary, Transportation",4929,"2","2018","2018-03-31",0,0
"Department of Transportation","Office of the Secretary","Cyber Security Initiatives, Office of the Secretary, Transportation",4930,"2","2018","2018-03-31",6001532.45,21229058.66
"Department of Transportation","Office of the Secretary","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",5087,"2","2018","2018-03-31",77345763.19,130089323.39
"Department of Transportation","Office of the Secretary","Financial Management Capital, Office of the Secretary, Transportation",4910,"2","2018","2018-03-31",0,2065999.1
"Department of Transportation","Office of the Secretary","Gifts and Bequests, Office of the Secretary, Transportation",5158,"2","2018","2018-03-31",0,100000
"Department of Transportation","Office of the Secretary","Minority Business Resource Center Program, Office of the Secretary, Transportation",4928,"2","2018","2018-03-31",54332.27,3506970.92
"Department of Transportation","Office of the Secretary","National Infrastructure Investments, Office of the Secretary, Transportation",4925,"2","2018","2018-03-31",67116116.68,2341325204.46
"Department of Transportation","Office of the Secretary","National Surface Transportation and Innovative Finance Bureau, Transportation",4931,"2","2018","2018-03-31",904132.71,9155859.64
"Department of Transportation","Office of the Secretary","New Headquarters Building, Office of the Secretary, Transportation",4926,"2","2018","2018-03-31",0,58249.27
"Department of Transportation","Office of the Secretary","Office of Civil Rights, Office of the Secretary, Transportation",4912,"2","2018","2018-03-31",3282604.82,9728833.33
"Department of Transportation","Office of the Secretary","Payment to Air Carriers, Office of the Secretary, Transportation",5137,"2","2018","2018-03-31",71696558,90849945.25
"Department of Transportation","Office of the Secretary","Rental Payments, Office of the Secretary",4911,"2","2018","2018-03-31",0,0
"Department of Transportation","Office of the Secretary","Research and Technology, Office of the Secretary, Transportation",5058,"2","2018","2018-03-31",9515688.65,50121214.13
"Department of Transportation","Office of the Secretary","Salaries and Expenses, Office of the Secretary, Transportation",4905,"2","2018","2018-03-31",49888780.06,129900414.55
"Department of Transportation","Office of the Secretary","Small and Disadvantaged Business Utilization and Outreach, Office of the Secretary, Transportation",4913,"2","2018","2018-03-31",1884086.62,9552506.96
"Department of Transportation","Office of the Secretary","Transportation Planning, Research, and Development, Office of the Secretary, Transportation",4924,"2","2018","2018-03-31",4102670.4,22317665.46
"Department of Transportation","Office of the Secretary","Transportation Research Activities Overseas, Special Foreign Currency Program, Office of the Secretary, Transportation",4907,"2","2018","2018-03-31",0,0
"Department of Transportation","Office of the Secretary","Working Capital Fund, Transportation",5081,"2","2018","2018-03-31",178227965.35,447235150.01
"Department of Transportation","Office of the Secretary","Working Capital Fund, Transportation Systems Center, Transportation",5082,"2","2018","2018-03-31",211287011.71,369186188.98
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Emergency Preparedness Grants, Pipeline and Hazardous Materials Safety Administration, Transportation",5085,"2","2018","2018-03-31",321590.21,12377650.22
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Hazardous Materials Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",5052,"2","2018","2018-03-31",21144440.61,30388062.78
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Operational Expenses, Pipeline and Hazardous Materials Safety Administration, Transportation",5051,"2","2018","2018-03-31",7862601.38,6704802.1
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",5084,"2","2018","2018-03-31",35413329.78,122386256.15
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Research and Special Programs, Pipeline and Hazardous Materials Safety Administration, Transportation",4906,"2","2018","2018-03-31",0,199341.84
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Trust Fund Share of Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",5131,"2","2018","2018-03-31",9605611,0
"Department of Transportation","Saint Lawrence Seaway Development Corporation","Operations and Maintenance, Saint Lawrence Seaway Development Corporation, Transportation",5102,"2","2018","2018-03-31",20345916,0
"Department of Transportation","Saint Lawrence Seaway Development Corporation","Saint Lawrence Seaway Development Corporation Fund, Transportation",5074,"2","2018","2018-03-31",11588552.49,23495444.19
"Department of Transportation","Surface Transportation Board","Salaries and Expenses, Surface Transportation Board, Transportation",4932,"2","2018","2018-03-31",0,610677.04
"Department of Veterans Affairs","Benefits Programs","Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",4649,"2","2018","2018-03-31",45763886329.79,48886046875.09
"Department of Veterans Affairs","Benefits Programs","Filipino Veterans Equity Compensation Fund, Benefits Programs, Veterans Affairs",4679,"2","2018","2018-03-31",66000,55656755
"Department of Veterans Affairs","Benefits Programs","National Service Life Insurance Fund, Veterans Affairs",4701,"2","2018","2018-03-31",386889776.03,111500666.71
"Department of Veterans Affairs","Benefits Programs","Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",4678,"2","2018","2018-03-31",650005.48,4400248.97
"Department of Veterans Affairs","Benefits Programs","Post-Vietnam Era, Veterans Education Account, Veterans Affairs",4702,"2","2018","2018-03-31",102649.05,61752125.86
"Department of Veterans Affairs","Benefits Programs","Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",4656,"2","2018","2018-03-31",7791810774.21,12657341095.58
"Department of Veterans Affairs","Benefits Programs","Service-Disabled Veterans Insurance Fund, Veterans Affairs",4684,"2","2018","2018-03-31",79384421.48,116038863.6
"Department of Veterans Affairs","Benefits Programs","Servicemen's Group Life Insurance Fund, Veterans Affairs",4682,"2","2018","2018-03-31",380256015.62,414084201.13
"Department of Veterans Affairs","Benefits Programs","United States Government Life Insurance Fund, Veterans Affairs",4703,"2","2018","2018-03-31",369208.22,1191642.91
"Department of Veterans Affairs","Benefits Programs","Veterans Housing Benefit Program Fund Liquidating Account, Veterans Affairs",4687,"2","2018","2018-03-31",719092.7,2379050.3
"Department of Veterans Affairs","Benefits Programs","Veterans Housing Benefit Program Fund Program Account, Veterans Benefits Administration, Veterans Affairs",4677,"2","2018","2018-03-31",325892631.11,886264141.11
"Department of Veterans Affairs","Benefits Programs","Veterans Insurance and Indemnities, Veterans Benefits Administration, Veterans Affairs",4652,"2","2018","2018-03-31",54646568.33,62650793.4
"Department of Veterans Affairs","Benefits Programs","Veterans Reopened Insurance Fund, Veterans Affairs",4683,"2","2018","2018-03-31",12397210.46,93154462.45
"Department of Veterans Affairs","Benefits Programs","Veterans Special Life Insurance Fund, Trust Revolving Fund, Veterans Affairs",4705,"2","2018","2018-03-31",106387196.5,1204240407.6
"Department of Veterans Affairs","Benefits Programs","Vocational Rehabilitation Loans Program Account, Veterans Benefits Administration, Veterans Affairs",4676,"2","2018","2018-03-31",229130.38,205199.47
"Department of Veterans Affairs","Departmental Administration","Board of Veterans Appeals, Departmental Administration, Veterans Affairs",4680,"2","2018","2018-03-31",70857537.62,111246699.36
"Department of Veterans Affairs","Departmental Administration","Construction, Major Projects, Departmental Administration, Veterans Affairs",4650,"2","2018","2018-03-31",176573244.69,3295010466.68
"Department of Veterans Affairs","Departmental Administration","Construction, Minor Projects, Departmental Administration, Veterans Affairs",4651,"2","2018","2018-03-31",144528259.67,1378843731.55
"Department of Veterans Affairs","Departmental Administration","Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",4700,"2","2018","2018-03-31",33798.71,1697314.26
"Department of Veterans Affairs","Departmental Administration","Franchise Fund, Veterans Affairs",4690,"2","2018","2018-03-31",670060054.95,452549668.27
"Department of Veterans Affairs","Departmental Administration","General Administration, Departmental Administration, Veterans Affairs",4658,"2","2018","2018-03-31",314103048.7,534199165.87
"Department of Veterans Affairs","Departmental Administration","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",4660,"2","2018","2018-03-31",2018951907.51,2110094097.23
"Department of Veterans Affairs","Departmental Administration","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",4673,"2","2018","2018-03-31",104896725.19,722000189.65
"Department of Veterans Affairs","Departmental Administration","Grants for the Construction of State Veterans Cemeteries, Departmental Administration, Veterans Affairs",4674,"2","2018","2018-03-31",0,55303991.44
"Department of Veterans Affairs","Departmental Administration","Information Technology Systems, Departmental Administration, Veterans Affairs",4667,"2","2018","2018-03-31",1997606393.86,2780343948.01
"Department of Veterans Affairs","Departmental Administration","National Cemetery Administration Facilities Operation Fund, Veterans Affairs",4692,"2","2018","2018-03-31",0,1381917.01
"Department of Veterans Affairs","Departmental Administration","National Cemetery Administration, Veterans Health Administration, Veterans Affairs",4654,"2","2018","2018-03-31",136578317.72,194498856.74
"Department of Veterans Affairs","Departmental Administration","Office of Inspector General, Departmental Administration, Veterans Affairs",4670,"2","2018","2018-03-31",80552167.61,107724273.53
"Department of Veterans Affairs","Departmental Administration","Pershing Hall Revolving Fund, Veterans Affairs",4686,"2","2018","2018-03-31",28809.77,2539415.78
"Department of Veterans Affairs","Departmental Administration","Supply Fund, Veterans Affairs",4689,"2","2018","2018-03-31",876338439.27,1946379834.49
"Department of Veterans Affairs","Departmental Administration","Veterans Electronic Health Care Record, Departmental Administration, Veterans Affairs",4681,"2","2018","2018-03-31",0,782000000
"Department of Veterans Affairs","Veterans Health Administration","Canteen Service Revolving Fund, Veterans Affairs",4685,"2","2018","2018-03-31",189571453.66,359103198.8
"Department of Veterans Affairs","Veterans Health Administration","DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",4666,"2","2018","2018-03-31",14878995.07,108975227.52
"Department of Veterans Affairs","Veterans Health Administration","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",4665,"2","2018","2018-03-31",3004737849.24,4819661021.6
"Department of Veterans Affairs","Veterans Health Administration","Expenses, Medical Services, Veterans Health Administration, Veterans Affairs",4663,"2","2018","2018-03-31",24520603219.32,30126579979.48
"Department of Veterans Affairs","Veterans Health Administration","Expenses, Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",4661,"2","2018","2018-03-31",3161652597.6,4189136287.93
"Department of Veterans Affairs","Veterans Health Administration","General Post Fund, National Homes, Veterans Affairs",4704,"2","2018","2018-03-31",9930135.56,113876682.11
"Department of Veterans Affairs","Veterans Health Administration","Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",4669,"2","2018","2018-03-31",235600020.84,208000659.3
"Department of Veterans Affairs","Veterans Health Administration","Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",4664,"2","2018","2018-03-31",276222481.67,672014825.71
"Department of Veterans Affairs","Veterans Health Administration","Medical Care Collections Fund, Veterans Affairs",4691,"2","2018","2018-03-31",0,0
"Department of Veterans Affairs","Veterans Health Administration","Medical Community Care, Veterans Health Administration, Veterans Affairs",4657,"2","2018","2018-03-31",5688137886.56,6097202820.31
"Department of Veterans Affairs","Veterans Health Administration","Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",4672,"2","2018","2018-03-31",2775051224.66,2112126033.18
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Abatement, Control and Compliance Loan Program, Environmental Protection Agency",4877,"2","2018","2018-03-31",0,0.46
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Buildings and Facilities, Environmental Protection Agency",4874,"2","2018","2018-03-31",8264425.51,28458652.19
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Damage Assessment and Restoration Revolving Fund, Environmental Protection Agency",4886,"2","2018","2018-03-31",1258882.27,2892128.39
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Energy Research and Development, Environmental Protection Agency",4873,"2","2018","2018-03-31",0,5284.29
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Environmental Programs and Management, Environmental Protection Agency",4872,"2","2018","2018-03-31",1150752940.23,891814388.16
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Exxon Valdez Settlement Fund, Environmental Protection Agency",4888,"2","2018","2018-03-31",0,1.23
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Hazardous Substance Superfund, Environmental Protection Agency",4899,"2","2018","2018-03-31",449805474.75,3942739955.7
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Hazardous Waste Electronic Manifest System Fund, Environmental Protection Agency",4885,"2","2018","2018-03-31",718787.82,3331155.08
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Inland Oil Spill Programs, Environmental Protection Agency",4903,"2","2018","2018-03-31",10248112.36,99684507.99
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Leaking Underground Storage Tank Trust Fund - Treasury Managed, Environmental Protection Agency",4900,"2","2018","2018-03-31",102423549.38,54292669.31
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Office of Inspector General - Recovery Act, Environmental Protection Agency",4876,"2","2018","2018-03-31",0,1526836.59
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Office of Inspector General, Environmental Protection Agency",4875,"2","2018","2018-03-31",22316024.66,12916195.6
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Payment to the Hazardous Substances Superfund, Environmental Protection Agency",4879,"2","2018","2018-03-31",582471155.76,0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Pesticide Registration Fund, Environmental Protection Agency",4889,"2","2018","2018-03-31",7478099.57,23091259.08
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Reregistration and Expedited Processing Revolving Fund, Environmental Protection Agency",4883,"2","2018","2018-03-31",13863682.71,51850743.41
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Revolving Fund for Certification and Other Services, Environmental Protection Agency",4884,"2","2018","2018-03-31",0,0.11
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Science and Technology, Environmental Protection Agency",4871,"2","2018","2018-03-31",301706628.56,216536423.97
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","State and Tribal Assistance Grants, Environmental Protection Agency",4869,"2","2018","2018-03-31",228502615.03,2003053693.03
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Water Infrastructure Finance And Innovation Program Account, Environmental Protection Agency",4882,"2","2018","2018-03-31",1595748.65,34543315.24
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Working Capital Fund, Environmental Protection Agency",4887,"2","2018","2018-03-31",80692749.15,253188784.88
"General Services Administration","General Activities","Acquisition Workforce Training Fund, General Services Administration",4740,"2","2018","2018-03-31",6049875.37,19661023.72
"General Services Administration","General Activities","Allowances and Office Staff for Former Presidents, General Services Administration",4713,"2","2018","2018-03-31",2125731.34,2389591.15
"General Services Administration","General Activities","Asset Proceeds and Space Management Fund, General Services Administration",4726,"2","2018","2018-03-31",0,5000000
"General Services Administration","General Activities","Civilian Board of Contract Appeals, General Services Administration",4725,"2","2018","2018-03-31",0,10120147.38
"General Services Administration","General Activities","Environmental Review Improvement Fund, General Services Administration",4741,"2","2018","2018-03-31",0,1000000
"General Services Administration","General Activities","Expenses, Electronic Government (E-Gov) Fund, General Services Administration",4723,"2","2018","2018-03-31",0,0
"General Services Administration","General Activities","Expenses, Government-Wide Policy, General Services Administration",4719,"2","2018","2018-03-31",32493098.76,30915796.96
"General Services Administration","General Activities","Expenses, Presidential Transition, General Services Administration",4714,"2","2018","2018-03-31",17,11691.98
"General Services Administration","General Activities","Federal Citizen Services Fund, General Services Administration",4735,"2","2018","2018-03-31",30816928.74,25449584.92
"General Services Administration","General Activities","Office of Inspector General - Recovery Act, General Services Administration",4717,"2","2018","2018-03-31",0,9238.55
"General Services Administration","General Activities","Office of Inspector General, General Services Administration",4715,"2","2018","2018-03-31",30956283.18,25301121.64
"General Services Administration","General Activities","Operating Expenses, General Services Administration",4716,"2","2018","2018-03-31",27921544.94,34603164.89
"General Services Administration","General Activities","Pre-Election Presidential Transition, General Services Administration",4724,"2","2018","2018-03-31",0,5573187.85
"General Services Administration","General Activities","Small Escrow Amounts, General Services Administration",4744,"2","2018","2018-03-31",0,0
"General Services Administration","General Activities","Withheld State and Local Taxes, General Services Administration",4742,"2","2018","2018-03-31",0,0
"General Services Administration","General Activities","Working Capital Fund, General Services Administration",4731,"2","2018","2018-03-31",390490033.03,390721677.19
"General Services Administration","Real Property Activities","Expenses, Disposal of Surplus Real and Related Personal Property, General Services Administration",4738,"2","2018","2018-03-31",290430.37,12161574.74
"General Services Administration","Real Property Activities","Federal Buildings Fund - Recovery Act, General Services Administration",4733,"2","2018","2018-03-31",117.32,2682180.08
