"source","target","value","type"
"National Geological and Geophysical Data Preservation ","U.S. Geological Survey",591361.23,"grant"
"National Geospatial Program: Building The National Map ","U.S. Geological Survey",102586,"grant"
"National Ground-Water Monitoring Network","U.S. Geological Survey",412652.28,"grant"
"National Health Service Corps","Health Resources and Services Administration",1739000,"grant"
"National Heritage Area Federal Financial Assistance","National Park Service",763720,"grant"
"National Highway Traffic Safety Administration (NHTSA) Discretionary Safety Grants and Cooperative Agreements ","National Highway Traffic Safety Administration",196000,"grant"
"National Historical Publications and Records Grants","National Historical Publications and Records Commission",4704042.62,"grant"
"National Leadership Grants","Institute of Museum and Library Services",9226585.78,"grant"
"National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes","National Oceanic and Atmospheric Administration",243261719.45,"grant"
"National Park Service Conservation, Protection, Outreach, and Education","National Park Service",1291793.62,"grant"
"National Research Service Award in Primary Care Medicine","Health Resources and Services Administration",6479749,"grant"
"National Research Service Awards Health Services Research Training","Agency for Healthcare Research and Quality",5611360,"grant"
"National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","Department of Education",53595223,"grant"
"National Urban Search and Rescue (US&R) Response System","Federal Emergency Management Agency",3263088,"grant"
"National Wetlands Inventory","U.S. Fish and Wildlife Service",434032,"grant"
"National Wildlife Refuge System Enhancements","U.S. Fish and Wildlife Service",44129.67,"grant"
"Native American Community Research, Demonstration, and Pilot Projects","Administration for Children and Families",325000,"grant"
"Native American Employment and Training","Employment and Training Administration",490769,"grant"
"Native American Graves Protection and Repatriation Act","National Park Service",392040.66,"grant"
"Native American Programs","Administration for Children and Families",1122612,"grant"
"Native Hawaiian Education","Department of Education",8952283.75,"grant"
"Natural Resource Damage Assessment, Restoration and Implementation","U.S. Fish and Wildlife Service",352460.65,"grant"
"Natural Resource Stewardship","National Park Service",1461766.97,"grant"
"Neotropical Migratory Bird Conservation ","U.S. Fish and Wildlife Service",41960,"grant"
"NIEHS Hazardous Waste Worker Health and Safety Training","National Institutes of Health",10942815,"grant"
"NIEHS Superfund Hazardous Substances_Basic Research and Education","National Institutes of Health",44893362,"grant"
"NOAA Mission-Related Education Awards","National Oceanic and Atmospheric Administration",2470576.46,"grant"
"Non-Governmental Organization Strengthening (NGO)","Agency for International Development",1376891,"grant"
"Nuclear Energy Research, Development and Demonstration","Department of Energy",54193441.09,"grant"
"Nuclear Legacy Cleanup Program","Department of Energy",7035000,"grant"
"Nurse Anesthetist Traineeship","Health Resources and Services Administration",4621807,"grant"
"Nurse Education, Practice Quality and Retention Grants","Health Resources and Services Administration",10499096,"grant"
"Nurse Faculty Loan Program (NFLP)","Health Resources and Services Administration",26427785,"grant"
"Nursing Student Loans","Health Resources and Services Administration",4081115,"grant"
"Nursing Workforce Diversity","Health Resources and Services Administration",14469356,"grant"
"Occupational Safety and Health Program","Centers for Disease Control and Prevention",84319464,"grant"
"Occupational Safety and Health Susan Harwood Training Grants","Occupational Safety and Health Administration",3912128.19,"grant"
"Ocean Acidification Program (OAP)","National Oceanic and Atmospheric Administration",1092598,"grant"
"Office for Coastal Management","National Oceanic and Atmospheric Administration",139297.78,"grant"
"Office of Integrative Activities","National Science Foundation",133349830,"grant"
"Office of International Science and Engineering","National Science Foundation",38335657,"grant"
"Office of Research and Development Consolidated Research/Training/Fellowships","Environmental Protection Agency",2995747,"grant"
"Opioid STR","Substance Abuse and Mental Health Services Administration",8262125,"grant"
"Oral Diseases and Disorders Research","National Institutes of Health",280100796,"grant"
"Organized Approaches to Increase Colorectal Cancer Screening","Centers for Disease Control and Prevention",4440140,"grant"
"Outreach Programs to Reduce the Prevalence of Obesity in High Risk Rural Areas","Centers for Disease Control and Prevention",11976167,"grant"
"Overseas Refugee Assistance Programs for Strategic Global Priorities","Department of State",763112,"grant"
"OVW Research and Evaluation Program","Offices, Boards and Divisions",2131299,"grant"
"OVW Technical Assistance Initiative","Offices, Boards and Divisions",1820450.9,"grant"
"OVW Technical Assistance Initiative","Office of Justice Programs",932026.86,"grant"
"P3 Award: National Student Design Competition for Sustainability","Environmental Protection Agency",1021077,"grant"
"Paralysis Resource Center","Administration on Aging",233576,"grant"
"Partners for Fish and Wildlife","U.S. Fish and Wildlife Service",244563.04,"grant"
"Partnership Agreements","Forest Service",64530529.55,"grant"
"Performance Partnership Pilots for Disconnected Youth","Department of Education",350000,"grant"
"Pest Management and Vector Control Research","Department of the Army",739189,"grant"
"PHMSA Pipeline Safety Research and Development & Other Transaction Agreements","Pipeline and Hazardous Materials Safety Administration",1187298,"grant"
"Plant and Animal Disease, Pest Control, and Animal Care","Animal and Plant Health Inspection Service",10596639,"grant"
"Plant Conservation and Restoration Management","Bureau of Land Management",611443.97,"grant"
"Poison Center Support and Enhancement Grant Program","Health Resources and Services Administration",8300103,"grant"
"Polar Programs","National Science Foundation",10317707,"grant"
"Pollution Prevention Grants Program","Environmental Protection Agency",2590365,"grant"
"Postconviction Testing of DNA Evidence","Office of Justice Programs",1671340.05,"grant"
"PPHF Geriatric Education Centers ","Health Resources and Services Administration",32927322,"grant"
"PPHF: Racial and Ethnic Approaches to Community Health Program financed solely by Public Prevention and Health Funds ","Centers for Disease Control and Prevention",2541851,"grant"
"Preservation of Japanese American Confinement Sites","National Park Service",105129.15,"grant"
"Prevention of Disease, Disability, and Death by Infectious Diseases  ","Centers for Disease Control and Prevention",16085535,"grant"
"Prevention of Disease, Disability, and Death through Immunization and Control of Respiratory and Related Diseases","Centers for Disease Control and Prevention",3199683,"grant"
"Preventive Health and Health Services Block Grant","Centers for Disease Control and Prevention",449828,"grant"
"Preventive Medicine and Public Health Residency Training Program, Integrative Medicine Program, and National Center for Integrative Primary Healthcare","Health Resources and Services Administration",5303689,"grant"
"Primary Care Medicine and Dentistry Clinician Educator Career Development Awards Program","Health Resources and Services Administration",2931750,"grant"
"Private Enforcement Initiatives ","Assistant Secretary for Fair Housing and Equal Opportunity",599989,"grant"
"Procurement Technical Assistance For Business Firms","Defense Logistics Agency",16490032,"grant"
"Procurement Technical Assistance For Business Firms","Defense Microelectronics Activity",545328,"grant"
"Procurement Technical Assistance For Business Firms","Washington Headquarters Services",58456,"grant"
"Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State",19587172,"grant"
"Professional and Cultural Exchange Programs - International Visitor Leadership Program","Department of State",8608663,"grant"
"Professional and Cultural Exchange Programs - Special Professional and Cultural Programs","Department of State",412500,"grant"
"Professional Standards for School Nutrition Employees","Food and Nutrition Service",3017125.35,"grant"
"Program of Protection and Advocacy of Individual Rights","Department of Education",220121,"grant"
"Project Safe Neighborhoods","Office of Justice Programs",391359.97,"grant"
"Promote the Survival and Continuing Vitality of Native American Languages","Administration for Children and Families",568874,"grant"
"Promoting Safe and Stable Families","Administration for Children and Families",1999921,"grant"
"Promotion of the Arts Grants to Organizations and Individuals","National Endowment for the Arts",5400604.52,"grant"
"Promotion of the Arts Partnership Agreements","National Endowment for the Arts",105000,"grant"
"Promotion of the Humanities Challenge Grants","National Endowment for the Humanities",1246030.62,"grant"
"Promotion of the Humanities Division of Preservation and Access","National Endowment for the Humanities",10049224.7,"grant"
"Promotion of the Humanities Office of Digital Humanities","National Endowment for the Humanities",4585004.55,"grant"
"Promotion of the Humanities Professional Development","National Endowment for the Humanities",3871383.53,"grant"
"Promotion of the Humanities Public Programs","National Endowment for the Humanities",1818984.92,"grant"
"Promotion of the Humanities Research","National Endowment for the Humanities",5804246.24,"grant"
"Promotion of the Humanities Teaching and Learning Resources and Curriculum Development","National Endowment for the Humanities",3178438.79,"grant"
"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","Centers for Disease Control and Prevention",6563355,"grant"
"Protecting and Improving Health Globally: Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","Centers for Disease Control and Prevention",1341000,"grant"
"Protection and Advocacy for Individuals with Mental Illness","Substance Abuse and Mental Health Services Administration",458554,"grant"
"Protection of Children from Environmental Health Risks","Environmental Protection Agency",91169,"grant"
"Provision of Technical Assistance and Training Activities to Assure Comprehensive Cancer Control Outcomes. ","Centers for Disease Control and Prevention",700000,"grant"
"Public Diplomacy Programs","Department of State",7038665,"grant"
"Public Diplomacy Programs for Afghanistan and Pakistan","Department of State",3643853,"grant"
"Public Health Conference Support","Centers for Disease Control and Prevention",171463,"grant"
"Public Health Training Centers Program","Health Resources and Services Administration",8953811,"grant"
"Public Safety Interoperable Communications Grant Program","Office of Justice Programs",274974.1,"grant"
"Public Safety Partnership and Community Policing Grants","Offices, Boards and Divisions",8946316.19,"grant"
"Railroad Research and Development","Federal Railroad Administration",99997.61,"grant"
"Rangeland Resource Management","Bureau of Land Management",382736.96,"grant"
"Rare Disorders: Research, Surveillance, Health Promotion, and Education ","Centers for Disease Control and Prevention",2037411,"grant"
"Recreation Resource Management","Bureau of Land Management",351417.2,"grant"
"Refugee and Entrant Assistance Discretionary Grants","Administration for Children and Families",250000,"grant"
"Regional Wetland Program Development Grants","Environmental Protection Agency",3373153,"grant"
"Rehabilitation Long-Term Training","Department of Education",18310567.32,"grant"
"Rehabilitation Services American Indians with Disabilities","Department of Education",1088399,"grant"
"Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","Department of Education",599706,"grant"
"Rehabilitation Services Vocational Rehabilitation Grants to States","Department of Education",41238983.59,"grant"
"Rehabilitation Training Continuing Education","Department of Education",4669115.99,"grant"
"Rehabilitation Training Experimental and Innovative Training","Department of Education",500000,"grant"
"Renewable Energy Research and Development","Department of Energy",127959179.68,"grant"
"Research and Technical Assistance","Department of the Air Force",2800000,"grant"
"Research and Training in Complementary and Integrative Health","National Institutes of Health",106626056,"grant"
"Research Grants (Generic)","U.S. Fish and Wildlife Service",128630.14,"grant"
"Research Infrastructure Programs","National Institutes of Health",242904079,"grant"
"Research Innovation and Development Grants in Economic (RIDGE)","Economic Research Service",950000,"grant"
"Research on Chemical and Biological Defense","Department of the Army",2011712,"grant"
"Research, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies ","Environmental Protection Agency",3507600,"grant"
"Research, Prevention, and Education Programs on Lyme Disease in the United States","Centers for Disease Control and Prevention",462404,"grant"
"Retired and Senior Volunteer Program","Corporation for National and Community Service",3428793.51,"grant"
"Rhinoceros and Tiger Conservation Fund","U.S. Fish and Wildlife Service",129430,"grant"
"Route 66 Corridor Preservation ","National Park Service",13161.62,"grant"
"Rural Business Development Grant","Rural Business Cooperative Service",3943669,"grant"
"Rural Cooperative Development Grants","Rural Business Cooperative Service",1671975,"grant"
"Rural Education","Department of Education",527948.84,"grant"
"Rural Emergency Medical Communications and GIS Demonstration Project","Department of Homeland Security",1999998,"grant"
"Rural Energy for America Program","Rural Business Cooperative Service",972765,"grant"
"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider  Quality Improvement Program ","Health Resources and Services Administration",1868201,"grant"
"Rural Health Research Centers","Health Resources and Services Administration",7613885,"grant"
"Rural Rental Assistance Payments","Rural Housing Service",606325,"grant"
"Ryan White HIV/AIDS Dental Reimbursement and Community Based Dental Partnership Grants","Health Resources and Services Administration",9225749,"grant"
"Safety and Health Grants","Mine Safety and Health Administration",79300,"grant"
"San Joaquin River Restoration ","Bureau of Reclamation",49966.23,"grant"
"Scholarships for Health Professions Students from Disadvantaged Backgrounds","Health Resources and Services Administration",44029612,"grant"
"School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","Department of Education",3813278.68,"grant"
"Schools and Roads - Grants to States","Forest Service",26966.32,"grant"
"Science and Technology Projects Related to Coal Mining and Reclamation","Office of Surface Mining, Reclamation and Enforcement",146552.27,"grant"
"Science To Achieve Results (STAR) Research Program","Environmental Protection Agency",21391343,"grant"
"Science, Technology, Engineering & Mathematics (STEM) Education, Outreach and Workforce Program","Washington Headquarters Services",119782,"grant"
"Science, Technology, Engineering & Mathematics (STEM) Education, Outreach and Workforce Program","Department of the Navy",80000,"grant"
"Scientific Research - Combating Weapons of Mass Destruction","Defense Threat Reduction Agency",72546358,"grant"
"Sea Grant Support","National Oceanic and Atmospheric Administration",74086958.69,"grant"
"Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants","National Institute of Food and Agriculture",779514.28,"grant"
"Section 223 Demonstration Programs to Improve Community Mental Health Services","Substance Abuse and Mental Health Services Administration",1999990,"grant"
"Section 8 Housing Assistance Payments Program","Assistant Secretary for Housing--Federal Housing Commissioner",1002779,"grant"
"SECURE Water Act Research Agreements ","Bureau of Reclamation",2260026.55,"grant"
"Senior Companion Program","Corporation for National and Community Service",3143361.94,"grant"
"Services for Trafficking Victims","Office of Justice Programs",893523,"grant"
"Services to Indian Children, Elderly and Families","Bureau of Indian Affairs and Bureau of Indian Education",136425,"grant"
"Sexual Risk Avoidance Education ","Administration for Children and Families",2162924,"grant"
"Sexually Transmitted Diseases (STD) Prevention and Control Grants","Centers for Disease Control and Prevention",3441109,"grant"
"Sexually Transmitted Diseases (STD) Provider Education Grants","Centers for Disease Control and Prevention",1986687,"grant"
"Sickle Cell Treatment Demonstration Program","Health Resources and Services Administration",1562967,"grant"
"Small Business Development Centers","Small Business Administration",109274510.78,"grant"
"Small Rural Hospital Improvement Grant Program","Health Resources and Services Administration",3059927,"grant"
"Social Security - Work Incentives Planning and Assistance Program ","Social Security Administration",44003.9,"grant"
"Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries","Social Security Administration",543440,"grant"
"Social, Behavioral, and Economic Sciences","National Science Foundation",188156686,"grant"
"Social, Behavioral, and Economic Sciences","National Endowment for the Humanities",481828,"grant"
"Socially-Disadvantaged Groups Grant","Rural Business Cooperative Service",74371,"grant"
"Sodium Reduction in Communities","Centers for Disease Control and Prevention",394999,"grant"
"Solid Waste Management Assistance Grants","Environmental Protection Agency",513104,"grant"
"Solid Waste Management Grants","Rural Utilities Service",335810,"grant"
"Source Reduction Assistance","Environmental Protection Agency",33100,"grant"
"Southeast Area Monitoring and Assessment Program","National Oceanic and Atmospheric Administration",440799,"grant"
"Southwest Forest Health and Wildfire Prevention","Forest Service",2226275.04,"grant"
"Space Technology","National Aeronautics and Space Administration",40004451.77,"grant"
"Special Data Collections and Statistical Studies","Office of Justice Programs",211286.01,"grant"
"Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","Department of Education",77560715.83,"grant"
"Special Education Educational Technology Media, and Materials for Individuals with Disabilities","Department of Education",8392442.08,"grant"
"Special Education Grants to States","Bureau of Indian Affairs and Bureau of Indian Education",156818,"grant"
"Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","Department of Education",36212676.39,"grant"
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects","Administration on Aging",2891995,"grant"
"Special Programs for the Aging, Title VI, Part A, Grants to Indian Tribes, Part B, Grants to Native Hawaiians","Administration on Aging",250000,"grant"
"Specially Adapted Housing Assistive Technology Grant Program","Under Secretary for Benefits/Veterans Benefits Administration",39977,"grant"
"State & Private Forestry Hazardous Fuel Reduction Program","Forest Service",643560,"grant"
"State Commissions","Corporation for National and Community Service",265000,"grant"
"State Grants for Protection and Advocacy Services","Administration on Aging",55998,"grant"
"State Indoor Radon Grants","Environmental Protection Agency",222700,"grant"
"State Justice Statistics Program for Statistical Analysis Centers","Office of Justice Programs",1104956.49,"grant"
"State Maritime Schools","Maritime Administration",948000,"grant"
"State Physical Activity and Nutrition (SPAN)","Centers for Disease Control and Prevention",658162,"grant"
"State Public Health Approaches for Ensuring Quitline Capacity Funded in part by Prevention and Public Health Funds (PPHF) ","Centers for Disease Control and Prevention",961500,"grant"
"State Rural Hospital Flexibility Program","Health Resources and Services Administration",7006401,"grant"
"State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare","Centers for Medicare and Medicaid Services",3025229,"grant"
"State Survey Certification of Health Care Providers and Suppliers (Title XIX) Medicaid","Centers for Medicare and Medicaid Services",1428088,"grant"
"State Trade Expansion","Small Business Administration",460310,"grant"
"State Tribal Education Partnership (STEP)","Department of Education",330944,"grant"
"Statewide Family Engagement Centers","Department of Education",2725947,"grant"
"Statistical, Research, and Methodology  Assistance","U.S. Census Bureau",499874,"grant"
"STOP School Violence","Office of Justice Programs",1496598,"grant"
"Strengthening Minority-Serving Institutions","Department of Education",30214571.33,"grant"
"Substance Abuse and Mental Health Services Projects of Regional and National Significance","Substance Abuse and Mental Health Services Administration",112081859,"grant"
"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements ","Environmental Protection Agency",487722,"grant"
"Support for Adam Walsh Act Implementation Grant Program","Office of Justice Programs",500000,"grant"
"Supported Employment Services for Individuals with the Most Significant Disabilities","Department of Education",362827,"grant"
"Supporting and Maintaining a Surveillance System for Chronic Kidney Disease (CKD) in the United States","Centers for Disease Control and Prevention",1359653,"grant"
"Supporting Effective Educator Development Program","Department of Education",53871892,"grant"
"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act","Environmental Protection Agency",3600000,"grant"
"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act","Environmental Protection Agency",1082500,"grant"
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act","Environmental Protection Agency",1005487,"grant"
"Swift, Certain, and Fair (SCF) Sanctions program: Replicating the Concepts behind Project HOPE","Office of Justice Programs",1221769,"grant"
"Tax Counseling for the Elderly","Internal Revenue Service",35239,"grant"
"Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","Department of Education",1675691,"grant"
"Teacher Quality Partnership Grants","Department of Education",34000954.3,"grant"
"Teaching Health Center Graduate Medical Education Payment","Health Resources and Services Administration",3945797,"grant"
"Technical Assistance and Training Grants","Rural Utilities Service",649688,"grant"
"Technical Preservation Services","National Park Service",348137.86,"grant"
"Teenage Pregnancy Prevention Program","Office of Assistant Secretary for Health",11036735,"grant"
"Telehealth Programs","Health Resources and Services Administration",16158434,"grant"
"Thomas R. Pickering Foreign Affairs Fellowship Program","Department of State",245000,"grant"
"Threatened and Endangered Species","Bureau of Land Management",166274,"grant"
"Title I Grants to Local Educational Agencies","Bureau of Indian Affairs and Bureau of Indian Education",131100,"grant"
"Trade Adjustment Assistance for Firms","Economic Development Administration",8439536.5,"grant"
"Training and Technical Assistance","Corporation for National and Community Service",161537,"grant"
"Training in General, Pediatric, and Public Health Dentistry","Health Resources and Services Administration",2517586,"grant"
"Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind","Department of Education",2381533.06,"grant"
"Trans-National Crime","Department of State",1436422,"grant"
"Trans-NIH Research Support","National Institutes of Health",604705201,"grant"
"Transition Programs for Students with Intellectual Disabilities into Higher Education","Department of Education",11623363.18,"grant"
"Traumatic Brain Injury State Demonstration Grant Program","Administration on Aging",1349153,"grant"
"Tribal Colleges Education Equity Grants","National Institute of Food and Agriculture",3236706,"grant"
"Tribal Courts","Bureau of Indian Affairs and Bureau of Indian Education",50000,"grant"
"Tribal Maternal, Infant, and Early Childhood Home Visiting","Administration for Children and Families",650000,"grant"
"Tribally Controlled Community College Endowments","Bureau of Indian Affairs and Bureau of Indian Education",6466206,"grant"
"Tribally Controlled Postsecondary Career and Technical Institutions ","Department of Education",10884446,"grant"
"TRIO Educational Opportunity Centers","Department of Education",36579207.81,"grant"
"TRIO Staff Training Program","Department of Education",2007451.92,"grant"
"TRIO Student Support Services","Department of Education",300326395.33,"grant"
"TRIO Talent Search","Department of Education",122524121.05,"grant"
"TRIO Upward Bound","Department of Education",393036292.13,"grant"
"Troops to Teachers Grant Program","Department of the Navy",10925,"grant"
"Tuberculosis Demonstration, Research, Public and Professional Education","Centers for Disease Control and Prevention",5388040,"grant"
"U.S. Ambassadors Fund for Cultural Preservation","Department of State",2110000,"grant"
"U.S. Geological Survey Research and Data Collection","U.S. Geological Survey",30020383.1,"grant"
"U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program","Nuclear Regulatory Commission",14791580.07,"grant"
"Unallied Management Projects","National Oceanic and Atmospheric Administration",504461,"grant"
"Unallied Science Program","National Oceanic and Atmospheric Administration",1392685.1,"grant"
"Undergraduate International Studies and Foreign Language Programs","Department of Education",2190842.13,"grant"
"Universal Newborn Hearing Screening","Health Resources and Services Administration",3125049,"grant"
"University Transportation Centers Program","Immediate Office of the Secretary of Transportation",59953300,"grant"
"Upper Colorado and San Juan River Basins Endangered Fish Recovery ","Bureau of Reclamation",1880163.29,"grant"
"Upper Mississippi River System Long Term Resource Monitoring ","U.S. Geological Survey",1183811,"grant"
"Urban and Community Forestry Program","Forest Service",714047.93,"grant"
"USAID Development Partnerships for University Cooperation and Development","Agency for International Development",26141427,"grant"
"USAID Foreign Assistance for Programs Overseas","Agency for International Development",351675831,"grant"
"VA Grants for Adaptive Sports Programs for Disabled Veterans and Disabled Members of the Armed Forces","Under Secretary for Health/Veterans Health Administration",574928.11,"grant"
"VA Homeless Providers Grant and Per Diem Program","Under Secretary for Health/Veterans Health Administration",5774,"grant"
"VA Supportive Services for Veteran Families Program","Under Secretary for Health/Veterans Health Administration",1592758,"grant"
"Veterans Outreach Program","Small Business Administration",5380560.92,"grant"
"Veterinary Services Grant Program","National Institute of Food and Agriculture",1950000,"grant"
"Viral Hepatitis Prevention and Control","Centers for Disease Control and Prevention",725000,"grant"
"Volunteer Income Tax Assistance (VITA) Matching Grant Program","Internal Revenue Service",548881.97,"grant"
"Volunteers in Service to America","Corporation for National and Community Service",5739961.79,"grant"
"Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems","Administration on Aging",98209,"grant"
"Water and Waste Disposal Systems for Rural Communities","Rural Utilities Service",846000,"grant"
"Water Desalination Research and Development ","Bureau of Reclamation",2858281.94,"grant"
"Water Resources on Indian Lands","Bureau of Indian Affairs and Bureau of Indian Education",400000,"grant"
"Weapons Removal and Abatement","Department of State",1207517,"grant"
"Wild Horse and Burro Resource Management","Bureau of Land Management",53000,"grant"
"Wildland Fire Research and Studies ","Bureau of Land Management",505996.11,"grant"
"Wildlife Resource Management","Bureau of Land Management",517458,"grant"
"Wildlife Services","Animal and Plant Health Inspection Service",3867284.04,"grant"
"Wildlife Without Borders-Africa ","U.S. Fish and Wildlife Service",434361,"grant"
"WIOA Adult Program","Employment and Training Administration",3610508.56,"grant"
"WIOA Dislocated Worker Formula Grants","Employment and Training Administration",4024319.61,"grant"
"WIOA Youth Activities","Employment and Training Administration",59033292,"grant"
"Women's Business Ownership Assistance","Small Business Administration",1451500,"grant"
"Wood  Education and Resource  Center (WERC)","Forest Service",49902.07,"grant"
"Wood Utilization Assistance","Forest Service",2852322.47,"grant"
"Wood Utilization Assistance","Rural Business Cooperative Service",1138003,"grant"
"Youth Conservation Opportunities on Public Lands","Bureau of Land Management",783319,"grant"
"Youth Conservation Services","Washington Headquarters Services",17273300,"grant"
"Youth Conservation Services","Department of the Army",181501,"grant"
"Youth Engagement, Education, and Employment ","U.S. Fish and Wildlife Service",484802.5,"grant"
"1890 Institution Capacity Building Grants","National Institute of Food and Agriculture",17864496.06,"research"
"1994 Institutions Research Program","National Institute of Food and Agriculture",2494323.77,"research"
"Academic Exchange Programs - Scholars","Department of State",7759974,"research"
"Aging Research","National Institutes of Health",1762240678,"research"
"Agriculture and Food Research Initiative (AFRI) ","National Institute of Food and Agriculture",337565235.51,"research"
"Air Force Defense Research Sciences Program","Department of the Air Force",275357717,"research"
"Air Transportation Centers of Excellence","Federal Aviation Administration",11344592,"research"
"Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants","National Institute of Food and Agriculture",5022678.48,"research"
"Alcohol Research Programs","National Institutes of Health",316868307,"research"
"Allergy and Infectious Diseases Research","National Institutes of Health",2419763061,"research"
"Arthritis, Musculoskeletal and Skin Diseases Research","National Institutes of Health",414619220,"research"
"Autism Collaboration, Accountability, Research, Education, and Support","Health Resources and Services Administration",593497,"research"
"Aviation Research Grants","Federal Aviation Administration",4386711.57,"research"
"Basic and Applied Scientific Research","Department of the Navy",477674906,"research"
"Basic and Applied Scientific Research","Department of the Air Force",45453671,"research"
"Basic and Applied Scientific Research","Department of the Army",40082658,"research"
"Basic and Applied Scientific Research","Washington Headquarters Services",1340095,"research"
"Basic Scientific Research","Department of the Army",293417291,"research"
"Basic, Applied, and Advanced Research in Science and Engineering","Department of the Army",94912999,"research"
"Basic, Applied, and Advanced Research in Science and Engineering","Department of the Air Force",1465400,"research"
"Basic, Applied, and Advanced Research in Science and Engineering","Department of the Navy",711117,"research"
"Basic, Applied, and Advanced Research in Science and Engineering","Internal Revenue Service",221999,"research"
"Biodiesel","National Institute of Food and Agriculture",180874,"research"
"Biological Sciences","National Science Foundation",623359538,"research"
"Biomass Research and Development Initiative Competitive Grants Program (BRDI)","National Institute of Food and Agriculture",4993496.44,"research"
"Biomedical Research and Research Training","National Institutes of Health",2273406787,"research"
"Biotechnology Risk Assessment Research","National Institute of Food and Agriculture",7336088.9,"research"
"Blood Diseases and Resources Research","National Institutes of Health",279339175,"research"
"Cancer Biology Research","National Institutes of Health",448355264,"research"
"Cancer Cause and Prevention Research","National Institutes of Health",532461357,"research"
"Cancer Centers Support Grants","National Institutes of Health",434435340,"research"
"Cancer Control","National Institutes of Health",1398794,"research"
"Cancer Detection and Diagnosis Research","National Institutes of Health",298971417,"research"
"Cancer Treatment Research","National Institutes of Health",566277753,"research"
"Cardiovascular Diseases Research","National Institutes of Health",1363995416,"research"
"Centers for Academic Excellence","Defense Intelligence Agency",9996720,"research"
"Centers for Homeland Security","Department of Homeland Security",11948906,"research"
"Centers for International Business Education","Department of Education",4571400,"research"
"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations","Centers for Medicare and Medicaid Services",737961,"research"
"Centers for Research and Demonstration for Health Promotion and Disease Prevention","Centers for Disease Control and Prevention",29040506,"research"
"Child Health and Human Development Extramural Research","National Institutes of Health",841683257,"research"
"Climate and Atmospheric Research","National Oceanic and Atmospheric Administration",28075393.02,"research"
"Collaborative Research and Development","Department of the Army",961827,"research"
"Collaborative Research and Development","Department of the Air Force",190000,"research"
"Computer and Information Science and Engineering","National Science Foundation",942358981,"research"
"Cooperative Extension Service","National Institute of Food and Agriculture",75524890.19,"research"
"Criminal Justice Research and Development Graduate Research Fellowships","Office of Justice Programs",18159.44,"research"
"Crop Protection and Pest Management Competitive Grants Program","National Institute of Food and Agriculture",24632849.17,"research"
"Cross Agency Support","National Aeronautics and Space Administration",11319355.08,"research"
"Cultural Resources Management","Bureau of Indian Affairs and Bureau of Indian Education",79986,"research"
"Defense Nuclear Nonproliferation Research","Department of Energy",15244996.17,"research"
"Diabetes, Digestive, and Kidney Diseases Extramural Research","National Institutes of Health",1362136881,"research"
"Discovery and Applied Research for Technological Innovations to Improve Human Health","National Institutes of Health",327218720,"research"
"Drug Abuse and Addiction Research Programs","National Institutes of Health",703566748,"research"
"Education","National Aeronautics and Space Administration",89075806.7,"research"
"Education and Human Resources","National Science Foundation",1119536380,"research"
"Education Research, Development and Dissemination","Department of Education",137073620.19,"research"
"Educational Partnership Program","National Oceanic and Atmospheric Administration",13780000,"research"
"Engineering Grants","National Science Foundation",782156808,"research"
"Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis","Department of Energy",6890489.71,"research"
"Environmental Public Health and Emergency Response","Centers for Disease Control and Prevention",427426,"research"
"Environmental Sciences, Applications, Data, and Education","National Oceanic and Atmospheric Administration",368696,"research"
"Epidemiology and Other Health Studies Financial Assistance Program","Department of Energy",1408360,"research"
"Exploration","National Aeronautics and Space Administration",53583692.98,"research"
"Extramural Research Programs in the Neurosciences and Neurological Disorders","National Institutes of Health",1501151841,"research"
