"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2133,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",154494000000,183326000000,5459
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2134,"Taxation on OASDI Benefits, HI, Centers for Medicare and Medicaid Services, Health and Human Services",5227000000,0,5460
"Department of Health and Human Services","Food and Drug Administration",2135,"Salaries and Expenses, Food and Drug Administration",2064616962,2936156640,5461
"Department of Health and Human Services","Food and Drug Administration",2137,"Buildings and Facilities, Food and Drug Administration, Health and Human Services",2169438.06,16980150.23,5463
"Department of Health and Human Services","National Institutes of Health",2138,"National Library of Medicine, National Institutes of Health, Health and Human Services",141476030.2,128900584.1,5464
"Department of Health and Human Services","National Institutes of Health",2139,"John E. Fogarty International Center, National Institutes of Health, Health and Human Services",19719397.61,26056031.5,5467
"Department of Health and Human Services","National Institutes of Health",2140,"Buildings and Facilities, National Institutes of Health, Health and Human Services",66254005.48,47674244.63,5468
"Department of Health and Human Services","National Institutes of Health",2141,"National Institute on Aging, National Institutes of Health, Health and Human Services",303436842.2,917801874.6,5472
"Department of Health and Human Services","National Institutes of Health",2142,"National Institute of Child Health and Human Development, National Institutes of Health, Health and Human Services",447555612.4,373813118.3,5473
"Department of Health and Human Services","National Institutes of Health",2143,"Office of the Director, National Institutes of Health, Health and Human Services",329794639.3,705584856.8,5475
"Department of Health and Human Services","National Institutes of Health",2145,"National Cancer Institute, National Institutes of Health, Health and Human Services",1725080613,1568401790,5478
"Department of Health and Human Services","National Institutes of Health",2146,"National Institute of General Medical Sciences, National Institutes of Health, Health and Human Services",661434748.1,850552809.5,5480
"Department of Health and Human Services","National Institutes of Health",2147,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",298729427.3,190574849.2,5482
"Department of Health and Human Services","National Institutes of Health",2148,"National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",1306025922,630875513.4,5485
"Department of Health and Human Services","National Institutes of Health",2149,"National Institute of Dental and Craniofacial Research, National Institutes of Health, Health and Human Services",140157320.4,107623576.3,5486
"Department of Health and Human Services","National Institutes of Health",2150,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",146270896.2,316177150,5488
"Department of Health and Human Services","National Institutes of Health",2151,"National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Health and Human Services",494007656.1,751735367,5490
"Department of Health and Human Services","National Institutes of Health",2152,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",2165601986,810324833.3,5491
"Department of Health and Human Services","National Institutes of Health",2153,"National Institute of Neurological Disorders and Stroke, National Institutes of Health, Health and Human Services",598628855.3,486344096.6,5492
"Department of Health and Human Services","National Institutes of Health",2154,"National Eye Institute, National Institutes of Health, Health and Human Services",261108533.5,185582561.8,5493
"Department of Health and Human Services","National Institutes of Health",2155,"National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Health and Human Services",128306864.9,205600280.2,5494
"Department of Health and Human Services","National Institutes of Health",2156,"National Institute of Nursing Research, National Institutes of Health",43076044.7,47569308.24,5495
"Department of Health and Human Services","National Institutes of Health",2157,"National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Health and Human Services",173811584.7,82371666.08,5496
"Department of Health and Human Services","National Institutes of Health",2158,"National Human Genome Research Institute, National Institutes of Health, Health and Human Services",207660388.3,132698527.4,5497
"Department of Health and Human Services","National Institutes of Health",2159,"National Institute of Mental Health, National Institutes of Health, Health and Human Services",494037560.8,451904334,5498
"Department of Health and Human Services","National Institutes of Health",2160,"National Institute on Drug Abuse, National Institutes of Health, Health and Human Services",351124923.8,354919935.1,5499
"Department of Health and Human Services","National Institutes of Health",2161,"National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Health and Human Services",137322101.7,153694444.1,5500
"Department of Health and Human Services","National Institutes of Health",2162,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",31572120.43,48281325.04,5501
"Department of Health and Human Services","National Institutes of Health",2163,"National Center on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",92932752.7,81814087.99,5502
"Department of Health and Human Services","National Institutes of Health",2164,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",91161701.23,120015882.5,5503
"Department of Health and Human Services","Centers for Disease Control and Prevention",2165,"CDC-Wide Activities and Program Support, Centers for Disease Control, Health and Human Services",172780035.5,1080736021,5518
"Department of Health and Human Services","Centers for Disease Control and Prevention",2166,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",31065196.27,84274149.5,5519
"Department of Health and Human Services","Centers for Disease Control and Prevention",2167,"World Trade Center Health Program Fund, Centers for Disease Control and Prevention, Health and Human Services",262205264.6,1066075421,5520
"Department of Health and Human Services","Centers for Disease Control and Prevention",2168,"Environmental Health, Centers for Disease Control and Prevention, Health and Human Services",38316931.15,200686031.7,5521
"Department of Health and Human Services","Centers for Disease Control and Prevention",2169,"Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Health and Human Services",163236167.8,1050527837,5522
"Department of Health and Human Services","Centers for Disease Control and Prevention",2170,"Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention, Health and Human Services",150285115.4,479387886.8,5523
"Department of Health and Human Services","Centers for Disease Control and Prevention",2171,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention, Centers for Disease Control and Prevention, Health and Human Services",409976941.2,744251420.7,5524
"Department of Health and Human Services","Centers for Disease Control and Prevention",2172,"Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Health and Human Services",138362221.2,700233159.8,5525
"Department of Health and Human Services","Centers for Disease Control and Prevention",2173,"Injury Prevention and Control, Centers for Disease Control and Prevention, Health and Human Services",71166334.21,108134406.5,5526
"Department of Health and Human Services","Centers for Disease Control and Prevention",2174,"National Institute of Occupational Safety and Health, Centers for Disease Control and Prevention, Health and Human Services",101281878,243195545.8,5527
"Department of Health and Human Services","Centers for Disease Control and Prevention",2175,"Employees Occupational Illness Compensation Program, Centers for Disease Control and Prevention, Health and Human Services",41055720.96,11537342.71,5528
"Department of Health and Human Services","Centers for Disease Control and Prevention",2176,"Global Health, Centers for Disease Control and Prevention, Health and Human Services",137279158.1,330760029.2,5529
"Department of Health and Human Services","Centers for Disease Control and Prevention",2177,"Public Health Preparedness and Response, Centers for Disease Control and Prevention, Health and Human Services",220893697.6,1327870599,5530
"Department of Health and Human Services","Centers for Disease Control and Prevention",2178,"Birth Defects, Developmental Disabilities, Disabilities and Health, Centers for Disease Control and Prevention, Health and Human Services",41704389.94,106098903.4,5531
"Department of Health and Human Services","Centers for Disease Control and Prevention",2179,"Public Health Scientific Services, Centers for Disease Control and Prevention, Health and Human Services",178619062.4,322131116.7,5532
"Department of Health and Human Services","Centers for Disease Control and Prevention",2180,"Buildings and Facilities, Centers for Disease Control and Prevention, Health and Human Services",483280.71,516781873.1,5533
"Department of Health and Human Services","Program Support Center",2181,"Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services",0,968170.18,5534
"Department of Health and Human Services","Program Support Center",2182,"Public Health Emergency Fund, Public Health Services, Office of Assistant Secretary for Health, Health and Human Services",0,56507.52,5535
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2183,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",43236384.61,131879288.6,5537
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2184,"Mental Health, Substance Abuse and Mental Health Services Administration, Health and Human Services",302178940.9,1133670526,5538
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2185,"Substance Abuse Treatment, Substance Abuse and Mental Health Administration, Health and Human Services",245762515.9,3148242406,5539
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2186,"Substance Abuse Prevention, Substance Abuse and Mental Health Administration, Health and Human Services",14587221.89,240677372,5540
"Department of Health and Human Services","Administration for Children and Families",2187,"Payments to States for Child Support Enforcement and Family Support Programs, Administration for Children and Families, Health and Human Services",1949161623,2600826135,5541
"Department of Health and Human Services","Administration for Children and Families",2188,"Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",3028222008,612714446.9,5542
"Department of Health and Human Services","Administration for Children and Families",2189,"Refugee and Entrant Assistance, Administration for Children and Families, Health and Human Services",721666184.5,1414062712,5543
"Department of Health and Human Services","Administration for Children and Families",2191,"Promoting Safe and Stable Families, Administration for Children and Families, Health and Human Services",68687251.96,578632119,5545
"Department of Health and Human Services","Administration for Children and Families",2192,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",1491183552,3736088250,5546
"Department of Health and Human Services","Administration for Children and Families",2194,"Contingency Fund for State Welfare Programs, Administration for Children and Families, Health and Human Services",546250446,61749554,5548
"Department of Health and Human Services","Administration for Children and Families",2195,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act, Administration for Children and Families, Health and Human Services",0,426453104.1,5549
"Department of Health and Human Services","Administration for Children and Families",2196,"Social Services Block Grant, Administration for Children and Families, Health and Human Services",757193371.8,948692043,5550
"Department of Health and Human Services","Administration for Children and Families",2197,"Children and Families Services Programs, Administration for Children and Families, Health and Human Services",2967176219,9248770340,5551
"Department of Health and Human Services","Administration for Children and Families",2198,"Payments for Foster Care and Permanency, Administration for Children and Families, Health and Human Services",4285540840,5136896696,5553
"Department of Health and Human Services","Administration for Children and Families",2200,"Child Care Entitlement to States, Administration for Children and Families, Health and Human Services",2036879550,880941456,5555
"Department of Health and Human Services","Administration for Children and Families",2201,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",8422897904,8721214877,5556
"Department of Health and Human Services","Administration for Children and Families",2202,"Children's Research and Technical Assistance, Administration for Children and Families, Health and Human Services",20344824.28,59888789.35,5557
"Department of Health and Human Services","Agency for Healthcare Research and Quality",2203,"Healthcare Research and Quality, Agency for Healthcare Research and Quality, Health and Human Services",117616144.7,252284818.6,5559
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2204,"Payments to Federal Hospital Insurance Trust Fund, Health Care Fraud and Abuse, Health and Human Services",19050462.06,0,5561
"Department of Health and Human Services","Departmental Management",2205,"Section 241 Transactions Account, Office of the Secretary, Health and Human Services",0,0,5562
"Department of Health and Human Services","Indian Health Service",2206,"Consolidated Working Fund, Health and Human Services, Indian Health Services",0,0,5563
"Department of Health and Human Services","National Institutes of Health",2208,"Management Fund, National Institutes of Health",351063402.2,733219958.9,5565
"Department of Health and Human Services","Food and Drug Administration",2209,"Revolving Fund for Certification and Other Services, Food and Drug Administration, Health and Human Services",4835680.84,10127886.83,5567
"Department of Health and Human Services","Program Support Center",2212,"HHS Service and Supply Fund, Program Support Center, Health and Human Services",692015808.5,1316263355,5570
"Department of Health and Human Services","Centers for Disease Control and Prevention",2213,"CDC Working Capital Fund, Centers for Disease Control and Prevention, Health and Human Services",288394379.6,331546022.4,5571
"Department of Health and Human Services","National Institutes of Health",2214,"Service and Supply Fund, National Institutes of Health, Health and Human Services",811094623.1,2321429403,5572
"Department of Health and Human Services","Indian Health Service",2215,"Operation and Maintenance of Quarters, Indian Health Services, Health and Human Services",2982212.08,11495610.51,5574
"Department of Health and Human Services","National Institutes of Health",2216,"Cooperative Research and Development Agreements, National Institutes of Health, Health and Human Services",9373079.35,77440741.29,5575
"Department of Health and Human Services","Centers for Disease Control and Prevention",2217,"Cooperative Research and Development Agreements, Centers for Disease Control, Health and Human Services",85010.23,4465635.81,5576
"Department of Health and Human Services","Food and Drug Administration",2218,"Cooperative Research and Development Agreements, Food and Drug Administration, Health and Human Services",236202.6,4521022.78,5577
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2220,"Child Enrollment Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",0,579333126.6,5579
"Department of Health and Human Services","Departmental Management",2221,"State Response to the Opioid Abuse Crisis, CURES Act, Departmental Administration, Health and Human Services",0,387072137,5580
"Department of Health and Human Services","National Institutes of Health",2222,"NIH Innovation, CURES Act, National Institutes of Health, Health and Human Services",1201076.47,443996960.3,5581
"Department of Health and Human Services","Food and Drug Administration",2223,"FDA Innovation, CURES Act, Food and Drug Administration, Health and Human Services",983241.4,66579732,5582
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2224,"Risk Adjustment Program Payments, Centers for Medicare and Medicaid Services, Health and Human Services",1719501928,100.2,5583
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2225,"Transitional Reinsurance Program, Centers for Medicare and Medicaid Services, Health and Human Services",641976216.3,10057.03,5584
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2237,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",164403000000,158737000000,5598
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2238,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",153581000000,146638000000,5599
"Department of Health and Human Services","Program Support Center",2239,"Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services",24908873.71,12239513.93,5600
"Department of Health and Human Services","Health Resources and Services Administration",2240,"Vaccine Injury Compensation Trust Fund - Treasury Managed",129014748.7,89599720.81,5602
"Department of Health and Human Services","Program Support Center",2241,"Food and Drug Administration Unconditional Gift Fund",0,0,5603
"Department of Health and Human Services","Program Support Center",2242,"National Institutes of Health Unconditional Gift Fund, Health and Human Services",184342.7,57803164.63,5604
"Department of Health and Human Services","Program Support Center",2243,"Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0,147757.52,5605
"Department of Health and Human Services","Program Support Center",2244,"Gifts and Donations, Centers for Disease Control, Health and Human Services",5990187.24,30833741.98,5606
"Department of Health and Human Services","Program Support Center",2245,"National Institutes of Health Conditional Gift Fund, Health and Human Services",10834802.85,96758823.99,5607
"Department of Health and Human Services","Program Support Center",2246,"Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services",2500,3875503.26,5608
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2248,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",39835193796,42740951731,5610
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2249,"Health Care Fraud and Abuse Control Account, Health and Human Services",701750081.9,1474281956,5611
"Department of Health and Human Services","Program Support Center",2250,"Administration on Aging Gift Fund, Health and Human Services",0,310491.36,5612
"Department of Health and Human Services","Program Support Center",2251,"Indian Health Service Gift Fund, Health and Human Services",14543.59,858210.34,5613
"Department of Health and Human Services","Program Support Center",2252,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",25773.54,190180.91,5614
"Department of Health and Human Services","Program Support Center",2253,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",0,289482.18,5615
"Department of Health and Human Services","Program Support Center",2254,"Office of the Secretary Gift Fund, Health and Human Services",0,102755.95,5616
"Department of Health and Human Services","Program Support Center",2255,"Patients' Benefit Fund, National Institutes of Health, Health and Human Services",1931,367131.42,5618
"Department of Health and Human Services","Program Support Center",2256,"Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services",4198.59,376429.54,5619
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2259,"Office of Inspector General, National Aeronautics and Space Administration",17672225.25,7562638.43,5622
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2260,"Science, Aeronautics and Technology, National Aeronautics and Space Administration",0,915959.98,5623
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2261,"Human Space Flight, National Aeronautics and Space Administration",1345.99,9942832.8,5624
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2262,"Mission Support, National Aeronautics and Space Administration",48.73,1752442.01,5625
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2263,"Science, Aeronautics, and Exploration, National Aeronautics and Space Administration",6097,1006301.18,5626
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2264,"Space Flight Capabilities, National Aeronautics and Space Administration",2289470512,956328579.1,5627
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2266,"Science, National Aeronautics and Space Administration",2292051579,1336699866,5630
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2267,"Safety, Security and Mission Services, National Aeronautics and Space Administration",2351130239,2413531330,5632
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2268,"Exploration, National Aeronautics and Space Administration",2217361640,497794741,5634
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2269,"Aeronautics, National Aeronautics and Space Administration",208306193.2,187212558.3,5636
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2270,"Education, National Aeronautics and Space Administration",42964406.46,29868778.83,5637
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2271,"Construction and Environmental Compliance and Restoration, National Aeronautics and Space Administration",113747064.5,537750534.8,5638
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2272,"Space Technology, National Aeronautics Space Administration",220515046.3,230130502.9,5639
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2273,"Working Capital Fund, National Aeronautics and Space Administration",202232070.8,319251214.3,5640
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2279,"Endeavor Teacher Fellowship Trust Fund, National Aeronautics and Space Administration",0,44708.77,5646
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2280,"National Space Grant Program, National Aeronautics and Space Administration",0,66851.91,5647
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2281,"Science, Space and Technology Education Trust Fund, National Aeronautics and Space Administration",500000,333899.18,5648
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)",2282,"Gifts and Donations, National Aeronautics and Space Administration",0,520494.42,5649
"US Agencies - Non-CFO Act","Export-Import Bank of the United States",2283,"Export-Import Bank Loans Program Account",102863577.9,512813472.6,5650
"US Agencies - Non-CFO Act","Export-Import Bank of the United States",2284,"Inspector General of the Export-Import Bank, Export-Import Bank of the United States",277095.44,5315266.43,5651
"US Agencies - Non-CFO Act","Export-Import Bank of the United States",2285,"Export-Import Bank of the United States, Liquidating Account",0,3916494.07,5652
"Department of Defense","Armed Forces Retirement Home",2288,"General Fund Payment, Armed Forces Retirement Home, Defense-Civil",12224580,0,5655
"Department of Defense","Armed Forces Retirement Home",2291,"Armed Forces Retirement Home",32007951.7,36942552.11,5658
"Department of Housing and Urban Development","Policy Development and Research",2293,"Research and Technology, Policy Development and Research, Housing and Urban Development",30157124.73,52142597.21,5660
"Department of Housing and Urban Development","Housing Programs",2294,"Rent Supplement, Housing Programs, Housing and Urban Development",873129,4976872.14,5661
"Department of Housing and Urban Development","Management and Administration",2295,"Salaries and Expenses, Management and Administration, Housing and Urban Development",2211961.72,4488741.95,5662
"Department of Housing and Urban Development","Fair Housing and Equal Opportunity",2296,"Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development",11048200,53983395.22,5663
"Department of Housing and Urban Development","Housing Programs",2297,"Rental Housing Assistance, Housing Programs, Housing and Urban Development",4483300,38647189.8,5664
"Department of Housing and Urban Development","Housing Programs",2298,"Housing Counseling Assistance, Housing Programs, Housing and Urban Development",16053.57,33317200.71,5665
"Department of Housing and Urban Development","Community Planning and Development",2299,"Community Development Fund, Community Planning and Development, Housing and Urban Development",2090470165,37246656398,5667
"Department of Housing and Urban Development","Public and Indian Housing Programs",2300,"Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development",2152566026,626168039.1,5668
"Department of Housing and Urban Development","Office of Lead Hazard Control and Healthy Homes",2302,"Lead Hazard Reduction, Office of Lead Hazard Control and Healthy Homes, Housing and Urban Development",84627.82,99529830.24,5670
"Department of Housing and Urban Development","Community Planning and Development",2303,"Self-Help and Assisted Homeownership Opportunity Program, Community Planning and Development, Housing and Urban Development",35000000,51559062.25,5671
"Department of Housing and Urban Development","Housing Programs",2304,"Mutual Mortgage Insurance Program Account, Federal Housing Administration, Housing and Urban Development",37779675.06,115524255.3,5673
"Department of Housing and Urban Development","Government National Mortgage Association",2305,"Guarantees of Mortgage-Backed Securities Loan Guarantees, Program Account, Government National Mortgage Association, Housing and Urban Development, 1992",139533168.8,700053045.9,5674
"Department of Housing and Urban Development","Management and Administration",2306,"Office of Inspector General, Management and Administration, Housing and Urban Development",61890892.81,17767542.11,5675
"Department of Housing and Urban Development","Management and Administration",2307,"Office of Inspector General-Recovery Act, Management and Administration, Housing and Urban Development",0,2272.04,5676
"Department of Housing and Urban Development","Community Planning and Development",2308,"Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development",1919555179,2278752687,5677
"Department of Housing and Urban Development","Housing Programs",2309,"Homeownership and Opportunity for People Everywhere Grants (HOPE Grants), Housing Programs, Housing and Urban Development",0,1070.91,5679
"Department of Housing and Urban Development","Public and Indian Housing Programs",2310,"Drug Elimination Grants for Low-Income Housing, Housing Programs, Housing and Urban Development",0,0,5680
"Department of Housing and Urban Development","Community Planning and Development",2311,"Community Development Loan Guarantees Program Account, Community Planning and Development, Housing and Urban Development",0,1058832.6,5681
"Department of Housing and Urban Development","Housing Programs",2312,"General and Special Risk Program Account, Federal Housing Administration, Housing and Urban Development",0,1923549390,5682
"Department of Housing and Urban Development","Community Planning and Development",2313,"Home Investment Partnerships Program, Community and Planning Development, Housing and Urban Development",610688537.1,496601914.5,5684
"Department of Housing and Urban Development","Public and Indian Housing Programs",2314,"Revitalization of Severely Distressed Public Housing, (HOPE VI), Public and Indian Housing, Housing and Urban Development",0,1420345.4,5685
"Department of Housing and Urban Development","Public and Indian Housing Programs",2317,"Indian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",977248.36,11341723.22,5688
"Department of Housing and Urban Development","Public and Indian Housing Programs",2318,"Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",0,5925554.02,5689
"Department of Housing and Urban Development","Public and Indian Housing Programs",2320,"Native Hawaiian Housing Block Grant, Public and Indian Housing, Housing and Urban Development",2000000,526519.46,5691
"Department of Housing and Urban Development","Housing Programs",2321,"FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",0,38933062193,5692
"Department of Housing and Urban Development","Housing Programs",2322,"Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",63952358.55,113176347.9,5693
"Department of Housing and Urban Development","Government National Mortgage Association",2323,"Guarantees of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage Association, Housing and Urban Development",0,16002950940,5694
"Department of Housing and Urban Development","Public and Indian Housing Programs",2324,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",10322210141,1828455390,5695
"Department of Housing and Urban Development","Housing Programs",2325,"Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",4275460072,2294262936,5696
"Department of Housing and Urban Development","Public and Indian Housing Programs",2326,"Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",22349238.92,1025979293,5697
"Department of Housing and Urban Development","Community Planning and Development",2327,"Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development",284826060,177169664,5700
"Department of Housing and Urban Development","Public and Indian Housing Programs",2329,"Native American Housing Block Grants, Public and Indian Housing, Housing and Urban Development",43505385,319057146.7,5702
"Department of Housing and Urban Development","Community Planning and Development",2330,"Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development",0,114717.5,5703
"Department of Housing and Urban Development","Community Planning and Development",2331,"Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development",0,118000,5704
"Department of Housing and Urban Development","Public and Indian Housing Programs",2333,"Housing Certificate Fund, Public and Indian Housing, Housing and Urban Development",894987,227227592.7,5706
"Department of Housing and Urban Development","Housing Programs",2334,"Housing for the Elderly, Housing Programs, Housing and Urban Development",225851503.1,242936948,5707
"Department of Housing and Urban Development","Community Planning and Development",2335,"Rural Housing and Economic Development, Public and Indian Housing, Housing and Urban Development",0,1371011.75,5708
"Department of Housing and Urban Development","Management and Administration",2338,"Executive Offices, Management and Administration, Housing and Urban Development",6646276.57,4259119.03,5712
"Department of Housing and Urban Development","Management and Administration",2340,"Housing, Program Office Salaries and Expenses, Housing and Urban Development",190751334.7,54996946.63,5714
"Department of Housing and Urban Development","Management and Administration",2341,"Administrative Support Offices, Management and Administration, Housing and Urban Development",240251101.2,96058809.74,5715
"Department of Housing and Urban Development","Management and Administration",2343,"Public and Indian Housing, Program Office Salaries and Expenses, Housing and Urban Development",109269426.5,29455151.32,5717
"Department of Housing and Urban Development","Management and Administration",2344,"Community Planning and Development, Program Office Salaries and Expenses, Housing and Urban Development",57160937.18,32998162.05,5718
"Department of Housing and Urban Development","Management and Administration",2345,"Policy Development and Research, Program Office Salaries and Expenses, Housing and Urban Development",12055687.63,3837886.23,5719
"Department of Housing and Urban Development","Management and Administration",2346,"Fair Housing and Equal Opportunity, Program Office Salaries and Expenses, Housing and Urban Development",37102468.58,9002301.71,5720
"Department of Housing and Urban Development","Management and Administration",2347,"Office of Healthy Homes and Lead Hazard Control, Program Office Salaries and Expenses, Housing and Urban Development",4257644.41,1746070.69,5721
"Department of Housing and Urban Development","Community Planning and Development",2348,"Permanent Supportive Housing, Housing and Urban Development",0,0,5722
"Department of Housing and Urban Development","Housing Programs",2349,"Home Ownership Preservation Entity Fund Program Account, Housing and Urban Development",0,7319666.33,5723
"Department of Housing and Urban Development","Community Planning and Development",2350,"Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development",0,170352.03,5724
"Department of Housing and Urban Development","Public and Indian Housing Programs",2355,"Choice Neighborhoods Initiative, Public and Indian Housing Programs, Housing and Urban Development",4950000,197194931.7,5729
"Department of Housing and Urban Development","Public and Indian Housing Programs",2356,"Family Self-Sufficiency, Public and Indian Housing, Housing and Urban Development",74928958,39786210.66,5730
"Department of Housing and Urban Development","Housing Programs",2357,"Energy Innovation Fund, Housing Programs, Housing and Urban Development",0,18883838.22,5731
"Department of Housing and Urban Development","Management and Administration",2358,"Transformation Initiative, Management and Administration, Housing and Urban Development",307634.39,7786325.02,5732
"Department of Housing and Urban Development","Housing Programs",2359,"Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development",0,329430981.5,5733
"Department of Housing and Urban Development","Community Planning and Development",2361,"Revolving Fund, Liquidating Programs, Housing and Urban Development",0,110000,5735
"Department of Housing and Urban Development","Housing Programs",2362,"Rental Housing Assistance Fund, Federal Housing Administration, Housing and Urban Development",0,10603195.56,5736
"Department of Housing and Urban Development","Housing Programs",2364,"Flexible Subsidy Fund, Housing Programs, Housing and Urban Development",0,502130405.5,5738
"Department of Housing and Urban Development","Housing Programs",2365,"College Housing Loans, Housing and Urban Development",0,12336221.08,5739
"Department of Housing and Urban Development","Housing Programs",2366,"Federal Housing Administration Fund, Housing and Urban Development",17562933.19,6940296.29,5740
"Department of Housing and Urban Development","Housing Programs",2367,"Nehemiah Housing Opportunity Fund, Housing and Urban Development",0,73500,5741
"Department of Housing and Urban Development","Housing Programs",2368,"FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development",44368830.4,182425986.8,5742
"Department of Housing and Urban Development","Community Planning and Development",2369,"Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development",0,0.5,5743
"Department of Housing and Urban Development","Housing Programs",2371,"Housing for the Elderly or Handicapped Fund, Housing and Urban Development",687301.69,5469581.76,5745
