,coc_number,coc_name,cfda_number,program_title,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website,fed_funding
1048,CA-603,Santa Maria/Santa Barbara County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,294562
1049,CA-603,Santa Maria/Santa Barbara County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1491729.92
1050,CA-513,"Visalia, Kings, Tulare Counties CoC",14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,4683623.22
1051,CA-604,Bakersfield/Kern County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,799103
1052,CA-604,Bakersfield/Kern County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,5235587.97
1053,CA-604,Bakersfield/Kern County CoC,14.235,Supportive Housing Program,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE","The Supportive Housing Program is designed to promote the development of supportive housing and supportive services to assist homeless individuals and families in the transition from homelessness and to enable them to live as independently as possible. Program funds may be used to provide: (i) transitional housing within a 24-month period as well as up to six months of follow-up services to former residents to assist their adjustment to independent living; (ii) permanent housing provided in conjunction with appropriate supportive services designed to maximize the ability of persons with disabilities to live as independently as possible; (iii) supportive housing that is, or is part of, a particularly innovative project for, or alternative method of, meeting the immediate and long-term needs of homeless individuals and families; (iv) supportive services for homeless individuals not provided in conjunction with supportive housing,(v) safe havens for homeless individuals with serious mental illness currently residing on the streets who may not yet be ready for supportive services; and (vi) Homeless Management Information Systems (HMIS) for developing management information systems to maintain data on beds, units and homeless individuals.",Homeless individuals and families with children.,CoC,1,Housing,http://www.hudexchange.info/shp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e8bccb4b9e5871bc750fa3843e66dcdf,-350980
1054,CA-604,Bakersfield/Kern County CoC,14.238,Shelter Plus Care,B - PROJECT GRANTS,"The Shelter Plus Care Program provides rental assistance, in connection with supportive services funded from sources other than this program, to homeless persons with disabilities (primarily persons who are seriously mentally ill; have chronic problems with alcohol, drugs, or both, or have acquired immunodeficiency syndrome and related diseases) and their families. The program provides assistance through four components: (1) Tenant-based Rental Assistance (TRA); (2) Sponsor-based Rental Assistance (SRA); (3) Project-based Rental Assistance (PRA); (4) and Single Room Occupancy for Homeless Individuals (SRO).",Homeless persons with disabilities and their families. Except in single room occupancy dwellings that are only for homeless individuals with disabilities.,CoC,1,Housing,https://www.hudexchange.info/spc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2c6200c53d783128d143a1977a047db1,-112934.6
1055,CA-604,Bakersfield/Kern County CoC,17.805,Homeless Veterans' Reintegration Program,B - PROJECT GRANTS,To provide services to assist in reintegrating homeless veterans into meaningful employment within the labor force; and to stimulate the development of effective service delivery systems that will address the complex problems facing homeless veterans.,"Individuals who are homeless veterans. The term ""homeless"" or ""homeless individual"" includes: (1) An individual who lacks a fixed, regular, and adequate night-time residence; and (2) an individual who has a primary night-time residence that is: (a) a supervised publicly or privately operated shelter designed to provide temporary living accommodations including welfare hotels, congregate shelters, and transitional housing for the mentally ill; (b) an institution that provides a temporary institutionalized; or (c) a public or private place not designed for, or ordinarily used as, a regular sleeping accommodations for human beings (Reference: 42 U.S.C. 1302), and (3) an individual or family who - (a) will imminently lose their housing, including housing they own, rent, or live in without paying rent, are sharing with others, and rooms in hotels or motels not paid for by Federal, State, or local government programs for low-income individuals or by charitable organizations, as evidenced by - (i) a court order resulting from an eviction action that notifies the individual or family that they must leave within 14 days; (ii) the individual or family having a primary nighttime residence that is a room in a hotel or motel and where they lack the resources necessary to reside there for more than 14 days; or (iii) credible evidence indicating that the owner or renter of the housing will not allow the individual or family to stay for more than 14 days, and any oral statement from an individual or family seeking homeless assistance that is found to be credible shall be considered credible evidence for purposes of this clause; (b) has no subsequent residence identified; and (c) lacks the resources or support networks needed to obtain other permanent housing. A ""veteran"" is an individual who served in the activity military, naval, or air service, and who was discharged or released there from under conditions other than dishonorable. (Reference: 33 U.S.C. 101 (2).).",CoC,1,Employment,http://www.dol.gov/dol/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2659a95e66fcebfa404ede61150b4df4,7000
1056,CA-614,San Luis Obispo County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,597260.91
1057,CA-603,Santa Maria/Santa Barbara County CoC,14.235,Supportive Housing Program,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE","The Supportive Housing Program is designed to promote the development of supportive housing and supportive services to assist homeless individuals and families in the transition from homelessness and to enable them to live as independently as possible. Program funds may be used to provide: (i) transitional housing within a 24-month period as well as up to six months of follow-up services to former residents to assist their adjustment to independent living; (ii) permanent housing provided in conjunction with appropriate supportive services designed to maximize the ability of persons with disabilities to live as independently as possible; (iii) supportive housing that is, or is part of, a particularly innovative project for, or alternative method of, meeting the immediate and long-term needs of homeless individuals and families; (iv) supportive services for homeless individuals not provided in conjunction with supportive housing,(v) safe havens for homeless individuals with serious mental illness currently residing on the streets who may not yet be ready for supportive services; and (vi) Homeless Management Information Systems (HMIS) for developing management information systems to maintain data on beds, units and homeless individuals.",Homeless individuals and families with children.,CoC,1,Housing,http://www.hudexchange.info/shp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e8bccb4b9e5871bc750fa3843e66dcdf,-23585
1058,CA-530,"Alpine, Inyo, Mono Counties CoC",14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,3091
1059,CA-600,Los Angeles City & County CoC,93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",B - PROJECT GRANTS,"The Service Connection for Youth on the Streets, also referred to as the Street Outreach Program (SOP) makes grants available to nonprofit agencies for the purpose of providing street-based services to runaway, homeless and street youth who have been subjected to, or are at risk of being subjected to sexual abuse, prostitution, human trafficking, sexual exploitation, or other forms of victimization.",Runaway and homeless street youth are the beneficiaries of SOPs.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb,https://cfda.gov/index?s=program&mode=form&tab=step1&id=ec212192d2c563e47eaf2e847a35c634,788385
1060,CA-600,Los Angeles City & County CoC,93.55,Transitional Living for Homeless Youth,B - PROJECT GRANTS,"The primary goal of the Transitional Living Program (TLP)/Maternity Group Home (MGH) is to help runaway and homeless youth between the ages of 16 to under 22 establish sustainable living and well-being for themselves and if applicable, their dependent child(ren). Through the provision of residential stay up to 540 days and comprehensive services, TLP youth between the ages of 16 to under 22 will realize improvements in four core outcome areas: stable housing, education/employment, permanent connections, and well-being.",Homeless youth (ages 16 to under 22) are the beneficiaries.,CoC,1,Housing,http://http//www.acf.hhs.gov/programs/fysb,https://cfda.gov/index?s=program&mode=form&tab=step1&id=f74a97816c9a358d2295f379d8a6da41,1164904
1061,CA-600,Los Angeles City & County CoC,93.623,Basic Center Grant,B - PROJECT GRANTS,"The purpose of Part A of the RHY Act (Runaway and Homeless Youth Grant Program) is to establish or strengthen locally controlled community-based programs that address the immediate needs of runaway and homeless youth and their families. Services must be delivered outside of the law enforcement, child welfare, mental health, and juvenile justice systems. The goals and objectives of the Basic Center Program are to: 1) alleviate problems of runaway and homeless youth; 2) reunite youth with their families, if deemed safe, and encourage the resolution of intra-family problems through counseling and other services; 3) strengthen family relationships and encourage stable living conditions for youth; and 4) help youth decide on constructive courses of action.",Runaway and homeless youth and their families are the beneficiaries. Services can be provided to youth up to the age of 18.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb.,https://cfda.gov/index?s=program&mode=form&tab=step1&id=5000109fa3a630c48fc6d5b4e9fddb9d,550000
1062,CA-514,Fresno/Madera County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,7158855.26
1063,CA-514,Fresno/Madera County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,483092
1064,CA-514,Fresno/Madera County CoC,14.235,Supportive Housing Program,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE","The Supportive Housing Program is designed to promote the development of supportive housing and supportive services to assist homeless individuals and families in the transition from homelessness and to enable them to live as independently as possible. Program funds may be used to provide: (i) transitional housing within a 24-month period as well as up to six months of follow-up services to former residents to assist their adjustment to independent living; (ii) permanent housing provided in conjunction with appropriate supportive services designed to maximize the ability of persons with disabilities to live as independently as possible; (iii) supportive housing that is, or is part of, a particularly innovative project for, or alternative method of, meeting the immediate and long-term needs of homeless individuals and families; (iv) supportive services for homeless individuals not provided in conjunction with supportive housing,(v) safe havens for homeless individuals with serious mental illness currently residing on the streets who may not yet be ready for supportive services; and (vi) Homeless Management Information Systems (HMIS) for developing management information systems to maintain data on beds, units and homeless individuals.",Homeless individuals and families with children.,CoC,1,Housing,http://www.hudexchange.info/shp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e8bccb4b9e5871bc750fa3843e66dcdf,-422155.24
1065,CA-514,Fresno/Madera County CoC,17.805,Homeless Veterans' Reintegration Program,B - PROJECT GRANTS,To provide services to assist in reintegrating homeless veterans into meaningful employment within the labor force; and to stimulate the development of effective service delivery systems that will address the complex problems facing homeless veterans.,"Individuals who are homeless veterans. The term ""homeless"" or ""homeless individual"" includes: (1) An individual who lacks a fixed, regular, and adequate night-time residence; and (2) an individual who has a primary night-time residence that is: (a) a supervised publicly or privately operated shelter designed to provide temporary living accommodations including welfare hotels, congregate shelters, and transitional housing for the mentally ill; (b) an institution that provides a temporary institutionalized; or (c) a public or private place not designed for, or ordinarily used as, a regular sleeping accommodations for human beings (Reference: 42 U.S.C. 1302), and (3) an individual or family who - (a) will imminently lose their housing, including housing they own, rent, or live in without paying rent, are sharing with others, and rooms in hotels or motels not paid for by Federal, State, or local government programs for low-income individuals or by charitable organizations, as evidenced by - (i) a court order resulting from an eviction action that notifies the individual or family that they must leave within 14 days; (ii) the individual or family having a primary nighttime residence that is a room in a hotel or motel and where they lack the resources necessary to reside there for more than 14 days; or (iii) credible evidence indicating that the owner or renter of the housing will not allow the individual or family to stay for more than 14 days, and any oral statement from an individual or family seeking homeless assistance that is found to be credible shall be considered credible evidence for purposes of this clause; (b) has no subsequent residence identified; and (c) lacks the resources or support networks needed to obtain other permanent housing. A ""veteran"" is an individual who served in the activity military, naval, or air service, and who was discharged or released there from under conditions other than dishonorable. (Reference: 33 U.S.C. 101 (2).).",CoC,1,Employment,http://www.dol.gov/dol/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2659a95e66fcebfa404ede61150b4df4,497850
1066,CA-514,Fresno/Madera County CoC,93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",B - PROJECT GRANTS,"The Service Connection for Youth on the Streets, also referred to as the Street Outreach Program (SOP) makes grants available to nonprofit agencies for the purpose of providing street-based services to runaway, homeless and street youth who have been subjected to, or are at risk of being subjected to sexual abuse, prostitution, human trafficking, sexual exploitation, or other forms of victimization.",Runaway and homeless street youth are the beneficiaries of SOPs.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb,https://cfda.gov/index?s=program&mode=form&tab=step1&id=ec212192d2c563e47eaf2e847a35c634,2.00E+05
1067,CA-506,"Salinas/Monterey, San Benito Counties CoC",14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1701387
1068,CA-506,"Salinas/Monterey, San Benito Counties CoC",64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,849730
1069,CA-506,"Salinas/Monterey, San Benito Counties CoC",17.805,Homeless Veterans' Reintegration Program,B - PROJECT GRANTS,To provide services to assist in reintegrating homeless veterans into meaningful employment within the labor force; and to stimulate the development of effective service delivery systems that will address the complex problems facing homeless veterans.,"Individuals who are homeless veterans. The term ""homeless"" or ""homeless individual"" includes: (1) An individual who lacks a fixed, regular, and adequate night-time residence; and (2) an individual who has a primary night-time residence that is: (a) a supervised publicly or privately operated shelter designed to provide temporary living accommodations including welfare hotels, congregate shelters, and transitional housing for the mentally ill; (b) an institution that provides a temporary institutionalized; or (c) a public or private place not designed for, or ordinarily used as, a regular sleeping accommodations for human beings (Reference: 42 U.S.C. 1302), and (3) an individual or family who - (a) will imminently lose their housing, including housing they own, rent, or live in without paying rent, are sharing with others, and rooms in hotels or motels not paid for by Federal, State, or local government programs for low-income individuals or by charitable organizations, as evidenced by - (i) a court order resulting from an eviction action that notifies the individual or family that they must leave within 14 days; (ii) the individual or family having a primary nighttime residence that is a room in a hotel or motel and where they lack the resources necessary to reside there for more than 14 days; or (iii) credible evidence indicating that the owner or renter of the housing will not allow the individual or family to stay for more than 14 days, and any oral statement from an individual or family seeking homeless assistance that is found to be credible shall be considered credible evidence for purposes of this clause; (b) has no subsequent residence identified; and (c) lacks the resources or support networks needed to obtain other permanent housing. A ""veteran"" is an individual who served in the activity military, naval, or air service, and who was discharged or released there from under conditions other than dishonorable. (Reference: 33 U.S.C. 101 (2).).",CoC,1,Employment,http://www.dol.gov/dol/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2659a95e66fcebfa404ede61150b4df4,110000
1070,CA-506,"Salinas/Monterey, San Benito Counties CoC",93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",B - PROJECT GRANTS,"The Service Connection for Youth on the Streets, also referred to as the Street Outreach Program (SOP) makes grants available to nonprofit agencies for the purpose of providing street-based services to runaway, homeless and street youth who have been subjected to, or are at risk of being subjected to sexual abuse, prostitution, human trafficking, sexual exploitation, or other forms of victimization.",Runaway and homeless street youth are the beneficiaries of SOPs.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb,https://cfda.gov/index?s=program&mode=form&tab=step1&id=ec212192d2c563e47eaf2e847a35c634,1.00E+05
1071,CA-506,"Salinas/Monterey, San Benito Counties CoC",93.623,Basic Center Grant,B - PROJECT GRANTS,"The purpose of Part A of the RHY Act (Runaway and Homeless Youth Grant Program) is to establish or strengthen locally controlled community-based programs that address the immediate needs of runaway and homeless youth and their families. Services must be delivered outside of the law enforcement, child welfare, mental health, and juvenile justice systems. The goals and objectives of the Basic Center Program are to: 1) alleviate problems of runaway and homeless youth; 2) reunite youth with their families, if deemed safe, and encourage the resolution of intra-family problems through counseling and other services; 3) strengthen family relationships and encourage stable living conditions for youth; and 4) help youth decide on constructive courses of action.",Runaway and homeless youth and their families are the beneficiaries. Services can be provided to youth up to the age of 18.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb.,https://cfda.gov/index?s=program&mode=form&tab=step1&id=5000109fa3a630c48fc6d5b4e9fddb9d,183895
1072,CA-512,Daly/San Mateo County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,9109821.03
1073,CA-512,Daly/San Mateo County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,399993
1074,CA-501,San Francisco CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,1448711
1075,CA-501,San Francisco CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,31170400.43
1076,CA-501,San Francisco CoC,16.736,"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault",B - PROJECT GRANTS,"To provide transitional housing assistance and related support services to minors, adults, and their dependents who are homeless, or in need of transitional housing or other housing assistance, as a result of a situation of domestic violence, dating violence, sexual assault, or stalking; and for whom emergency shelter services or other crisis intervention services are unavailable or insufficient.","Beneficiaries include minors, adults, and their dependants who are homeless or in need of transitional housing or other housing assistance, as a result of a situation of domestic violence; and for whom emergency shelter services or other crisis intervention services are unavailable or insufficient.",CoC,1,Housing,http://www.justice.gov/ovw,https://cfda.gov/index?s=program&mode=form&tab=step1&id=253064427602732ba0055eda5f518a25,350000
